AriaId,Mode,Key,KeySignatureType,NumberOfParts,FamilyInstrumentation,Instrumentation,Tempo,TempoNumeric,TempoGrouped1,TempoGrouped2,TimeSignature,TimeSignatureGrouped,PartVoice_SyllabicRatio,Score_Density,Score_SoundingDensity,Score_MeasuresMean,Score_SoundingMeasuresMean,Label_Sentiment,Label_BasicPassion,Label_Passions,Label_Time,PartVoice_HighestNoteIndex,PartVoice_LowestNoteIndex,PartVoice_Density,PartVoice_SoundingDensity,PartVoice_IntervallicMean,PartVoice_IntervallicStd,PartVoice_IntervallicSkewness,PartVoice_IntervallicKurtosis,PartVoice_AbsoluteIntervallicMean,PartVoice_AbsoluteIntervallicStd,PartVoice_AbsoluteIntervallicSkewness,PartVoice_AbsoluteIntervallicKurtosis,PartVoice_IntervalsDiminishedAll,PartVoice_IntervalsMinorAll,PartVoice_IntervalsPerfectAll,PartVoice_IntervalsMajorAll,PartVoice_IntervalsAugmentedAll,PartVoice_LeapsAll,PartVoice_StepwiseMotionAll,PartVoice_RepeatedNotes,PartVnI_HighestNoteIndex,PartVnI_LowestNoteIndex,PartVnI_Density,PartVnI_SoundingDensity,PartVnI_IntervallicMean,PartVnI_IntervallicStd,PartVnI_IntervallicSkewness,PartVnI_IntervallicKurtosis,PartVnI_AbsoluteIntervallicMean,PartVnI_AbsoluteIntervallicStd,PartVnI_AbsoluteIntervallicSkewness,PartVnI_AbsoluteIntervallicKurtosis,PartVnI_IntervalsDiminishedAll,PartVnI_IntervalsMinorAll,PartVnI_IntervalsPerfectAll,PartVnI_IntervalsMajorAll,PartVnI_IntervalsAugmentedAll,PartVnI_LeapsAll,PartVnI_StepwiseMotionAll,PartVnI_RepeatedNotes,PartBs_HighestNoteIndex,PartBs_LowestNoteIndex,PartBs_Density,PartBs_SoundingDensity,PartBs_IntervallicMean,PartBs_IntervallicStd,PartBs_IntervallicSkewness,PartBs_IntervallicKurtosis,PartBs_AbsoluteIntervallicMean,PartBs_AbsoluteIntervallicStd,PartBs_AbsoluteIntervallicSkewness,PartBs_AbsoluteIntervallicKurtosis,PartBs_IntervalsDiminishedAll,PartBs_IntervalsMinorAll,PartBs_IntervalsPerfectAll,PartBs_IntervalsMajorAll,PartBs_IntervalsAugmentedAll,PartBs_LeapsAll,PartBs_StepwiseMotionAll,PartBs_RepeatedNotes
0001,major,A,s,7,"ww,str","ob,vn,va,bs",Andante e spiccato,76.0,Andante,Moderate,4/4,simple duple,1.9615384615384612,1.243548387096774,1.7209821428571428,31.0,22.4,Positive,wonder,"pride,boldness",Present,78.0,64.0,1.2338709677419355,1.7386363636363635,-0.0263157894736842,3.423617560071486,-0.1285324279915013,2.756439985008554,2.460526315789474,2.3722501095129807,2.226318831661449,5.053195495549922,0.0,0.3552631578947368,0.1710526315789473,0.4671052631578947,0.006578947368421,0.2236842105263158,0.7039473684210527,0.0723684210526315,83,61,1.4516129032258065,2.142857142857143,-0.0223463687150838,4.88169627369096,0.4316931816952239,2.791072715506324,2.815642458100559,3.9823460147955454,1.7634900305412278,1.788447293571093,0.0,0.2905027932960894,0.4134078212290503,0.2960893854748603,0.0,0.2681564245810056,0.4189944134078212,0.3128491620111732,64,40,1.5241935483870968,1.575,0.0638297872340425,6.316616759498767,0.2707245802140635,0.7637091631208164,4.712765957446808,4.192232033280957,1.275335594167556,1.4711311842826251,0.0,0.1702127659574468,0.425531914893617,0.4042553191489361,0.0,0.5053191489361702,0.4468085106382978,0.0478723404255319
0002,major,Eb,b,7,"br,str","hn,vn,va,bs",Andantino sostenuto,96.0,Andantino,Moderate,2/2,simple duple,1.3691588785046729,2.563366336633663,2.8080260303687634,101.0,92.2,Negative,hatred,"anger,pity",Future,82.0,63.0,1.4504950495049505,1.9797297297297296,0.0166666666666666,3.100823424283325,1.1466912613076918,4.762834282547919,1.99,2.375297904217335,2.3171866757352717,7.117909149030764,0.01,0.2833333333333333,0.36,0.3466666666666667,0.0,0.2066666666666666,0.5166666666666667,0.2766666666666666,87,55,3.613861386138614,3.762886597938144,-0.0067567567567567,3.7043963597337166,0.4669206746314301,4.72665606178095,2.212162162162162,2.970238150250305,2.159278500926868,5.607311186610959,0.0229729729729729,0.2378378378378378,0.4486486486486487,0.2878378378378378,0.0027027027027027,0.2621621621621621,0.3716216216216216,0.3662162162162162,58,41,1.4554455445544554,1.5,0.0,3.1892370367710723,-1.2011603852259036,5.485570179913614,1.5631399317406145,2.7783913691586117,2.206418357268636,4.75135043910896,0.0,0.0716723549488054,0.764505119453925,0.1638225255972696,0.0,0.1979522184300341,0.1843003412969283,0.6177474402730375
0003,minor,f,b,5,str,"vn,va,bs",Andante amoroso,480.0,Andante,Moderate,4/4,simple duple,1.2644628099173554,1.4092592592592592,1.498031496062992,27.0,25.4,Negative,hatred,"anger,pity",Future,77.0,64.0,1.4166666666666667,1.6630434782608696,-0.0460526315789473,3.320294441163241,0.6264291235378392,2.9923188779774987,2.2039473684210527,2.4772843917234195,1.9600407148961805,3.815211924690401,0.0131578947368421,0.4013157894736842,0.2894736842105263,0.2828947368421052,0.0131578947368421,0.2302631578947368,0.5855263157894737,0.1842105263157894,85,64,1.5092592592592593,1.5673076923076923,0.0308641975308641,3.914335556771846,0.654315838009266,4.655020932105705,2.425925925925926,3.06615577705004,2.27605052864727,5.987456169844126,0.0123456790123456,0.345679012345679,0.3580246913580246,0.2839506172839506,0.0,0.2777777777777778,0.4691358024691358,0.2530864197530864,60,41,1.3425925925925926,1.3942307692307692,-0.0277777777777777,4.372425427392001,0.1945767762895181,1.9502124347044605,2.736111111111111,3.4029730134435874,1.4825811708011758,1.36464734513683,0.0208333333333333,0.25,0.5138888888888888,0.2152777777777778,0.0,0.3611111111111111,0.2986111111111111,0.3402777777777778
0005,major,Bb,b,5,str,"vn,va,bs",ND,,ND,nd,2/2,simple duple,1.9722222222222223,2.261538461538461,2.5,65.0,58.8,Positive,love,"love,sadness,generosity",Future,82.0,65.0,1.6384615384615384,2.730769230769231,0.0230414746543778,3.296241400940151,1.2265748332966158,3.193512968494379,2.207373271889401,2.4434987464518847,2.0829095312499644,4.489602987847438,0.0,0.304147465437788,0.2764976958525346,0.4193548387096774,0.0,0.1981566820276497,0.6082949308755761,0.1935483870967742,86,58,3.023076923076923,3.023076923076923,0.0175,4.414284599037908,0.8894094589918934,5.963436336204376,2.8075,3.403587043385957,2.6591361189315537,9.058723813738595,0.0,0.2625,0.3125,0.425,0.0,0.2725,0.565,0.1625,62,36,1.8846153846153848,1.9140625,0.0286885245901639,4.202095881293992,-0.1521836508965484,1.770436175146937,2.700819672131148,3.214652562085062,1.425208290526249,1.362121878520952,0.0081967213114754,0.2008196721311475,0.5,0.290983606557377,0.0,0.3278688524590163,0.3524590163934426,0.319672131147541
0006,major,A,s,7,"ww,str","ob,vn,va,bs",Spiritoso,90.0,Spiritoso,Fast,4/4,simple duple,1.952941176470588,1.3985294117647058,1.7228260869565215,34.0,27.6,Positive,wonder,"pride,boldness",Present,78.0,64.0,1.2205882352941178,1.66,-0.0242424242424242,3.2440405307675158,-0.2641529797106704,2.9527540604148514,2.375757575757576,2.201306472251098,2.3412968439556296,6.572593554517972,0.0,0.3090909090909091,0.1878787878787878,0.4969696969696969,0.006060606060606,0.2484848484848484,0.6484848484848484,0.103030303030303,86,61,1.7352941176470589,2.185185185185185,-0.0170212765957446,4.417298897610102,0.3852283654657382,3.598547045280899,2.6127659574468085,3.557682010964983,2.0249372040446656,3.163822762617034,0.0,0.2851063829787234,0.3702127659574468,0.3446808510638298,0.0,0.2638297872340425,0.4553191489361702,0.2808510638297872,64,40,1.5073529411764706,1.553030303030303,0.0588235294117647,6.1200204922735,0.401528504841904,0.9675692192530748,4.53921568627451,4.092938936206632,1.376838042985169,1.8467074685318776,0.0,0.2009803921568627,0.4117647058823529,0.3872549019607843,0.0,0.4950980392156863,0.4607843137254901,0.0441176470588235
0007,minor,f,b,5,str,"vn,va,bs",Andante amoroso,76.0,Andante,Moderate,2/4,simple duple,1.256198347107438,1.4532258064516128,1.614695340501792,62.0,55.8,Negative,hatred,"anger,pity",Future,77.0,64.0,1.2258064516129032,1.809523809523809,0.0,3.229034943549956,0.8606405381821685,3.1027285928271,2.198675496688742,2.358021395293574,2.066007356876145,4.711244043175501,0.0132450331125827,0.3841059602649007,0.2913907284768212,0.2980132450331126,0.0132450331125827,0.2450331125827814,0.5827814569536424,0.1721854304635761,84,64,1.7258064516129032,1.7833333333333334,-0.0046948356807511,4.151037211350962,1.5437813391114446,10.061384128188978,2.352112676056338,3.416518937108586,3.4837015123153474,12.747695058556292,0.0046948356807511,0.431924882629108,0.244131455399061,0.3004694835680751,0.0187793427230046,0.2394366197183098,0.5868544600938967,0.1737089201877934,65,41,1.3790322580645162,1.4491525423728813,-0.0294117647058823,5.344273571493264,0.2048559451799847,1.1490666953291075,3.547058823529412,3.988239760477279,1.2542897282581094,0.4811647442278763,0.0117647058823529,0.2764705882352941,0.4647058823529412,0.2470588235294117,0.0,0.4058823529411764,0.3529411764705882,0.2411764705882353
0008,major,C,n,5,str,"vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,2.006622516556291,1.5754716981132075,1.7578947368421052,106.0,95.0,Positive,wonder,"pride,boldness",Present,81.0,59.0,0.714622641509434,1.2023809523809523,0.0,4.876916415676016,1.6545725675669491,4.666502760354473,3.0944625407166124,3.7652784993296025,2.4274593549201366,6.059007716705667,0.013029315960912,0.2801302931596091,0.2280130293159609,0.4755700325732899,0.003257328990228,0.257328990228013,0.6254071661237784,0.1172638436482084,84,55,1.804245283018868,1.804245283018868,0.0026041666666666,4.687634541021535,1.0254124515317142,4.037633891576404,2.984375,3.6132835652015207,2.129954286145289,5.335722120766222,0.0065104166666666,0.2408854166666666,0.3125,0.4322916666666667,0.0078125,0.2903645833333333,0.4752604166666667,0.234375,62,36,1.80188679245283,1.91,-0.0065530799475753,3.6688672532605455,0.297197567120868,5.502194642638818,1.600262123197903,3.3009741558205947,2.263463172664454,4.111908741579239,0.0,0.1166448230668414,0.7968545216251638,0.0838794233289646,0.0026212319790301,0.1834862385321101,0.1245085190039318,0.6920052424639581
0009,major,Eb,b,5,str,"vn,va,bs",ND,,ND,nd,4/4,simple duple,2.383838383838384,0.905,0.9657012195121952,70.0,65.6,Negative,sadness,"sadness,love",Future,80.0,58.0,0.8428571428571429,1.0535714285714286,0.0,3.448494770558977,1.1205578442584594,3.801079041572661,2.363636363636364,2.506423283555383,2.26802419150345,6.642842060626574,0.0330578512396694,0.2479338842975206,0.2603305785123967,0.4504132231404958,0.0082644628099173,0.2066115702479339,0.6198347107438017,0.1735537190082644,82,55,0.9142857142857144,0.9411764705882352,0.0074906367041198,4.405219485680283,0.5289673520543561,4.757107897218351,2.7340823970037453,3.450029884466441,2.3190332632578032,6.084480100531982,0.0187265917602996,0.2397003745318352,0.3558052434456928,0.3707865168539326,0.0149812734082397,0.2434456928838951,0.5355805243445693,0.2209737827715356,60,41,0.8785714285714286,0.8913043478260869,-0.020242914979757,3.226477593960584,0.2030723383324436,6.215410077759275,1.5587044534412955,2.823319548702516,2.389171682299136,5.492751199571085,0.0,0.1497975708502024,0.7004048582995951,0.1417004048582996,0.0080971659919028,0.194331983805668,0.2226720647773279,0.582995951417004
0010,major,F,b,9,"ww,br,str","ob,hn,vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,1.6335403726708075,1.7592592592592593,1.9153225806451613,81.0,74.4,Positive,wonder,"pride,boldness",Present,79.0,60.0,0.8117283950617284,1.2644230769230769,0.0,4.075336184784196,0.5149903757822962,1.7031608501388718,2.8484848484848486,2.909234931335233,1.5902687585482376,2.170381339746812,0.0,0.3106060606060606,0.2954545454545454,0.3939393939393939,0.0,0.3219696969696969,0.5151515151515151,0.1628787878787878,86,55,2.1419753086419755,2.1962025316455698,0.0028818443804034,4.288982872240363,-0.4091807467803848,3.575111772222692,2.8962536023054755,3.1614859100205224,2.019280011921699,6.114125584592749,0.0014409221902017,0.2881844380403458,0.3198847262247838,0.3904899135446686,0.0,0.3501440922190201,0.4423631123919308,0.207492795389049,62,41,1.83641975308642,1.83641975308642,-0.0084175084175084,4.572252612245082,0.3733789986303932,2.2309550671036327,2.813131313131313,3.6025701842070426,1.5416924895327362,1.7079250878851395,0.0016835016835016,0.1313131313131313,0.6195286195286195,0.2441077441077441,0.0033670033670033,0.4141414141414141,0.1717171717171717,0.4141414141414141
0011,major,G,s,11,"ww,br,str","fl,ob,hn,vn,va,bs",Allegretto affettuoso,72.0,Allegretto,Fast,3/8,simple triple,3.169491525423729,1.0183006535947714,1.1096866096866098,102.0,93.6,Negative,sadness,"sadness,love",Future,83.0,64.0,1.2222222222222223,1.4666666666666668,-0.0105540897097625,2.848910393977516,1.212210254832366,2.636325124069799,2.073878627968338,1.9503977334285416,2.031947043294935,5.835633197121826,0.0131926121372031,0.3746701846965699,0.2163588390501319,0.3957783641160949,0.0,0.2453825857519788,0.5857519788918206,0.1688654353562005,86,62,1.2320261437908495,1.380952380952381,-0.0368421052631578,3.970034264264754,1.3033533535146244,6.442146896097187,2.6157894736842104,2.983642858135353,2.9521150416683124,10.863601859599443,0.0026315789473684,0.3657894736842105,0.2236842105263158,0.4052631578947368,0.0026315789473684,0.3052631578947368,0.5578947368421052,0.1368421052631579,62,38,0.7777777777777777,0.7777777777777777,-0.0210970464135021,7.832162751607038,0.2416459967103599,-0.2623886256816519,5.886075949367089,5.152720217348798,0.6107345264429295,-0.7766262876771663,0.0,0.1054852320675105,0.7468354430379747,0.1392405063291139,0.0084388185654008,0.6329113924050633,0.189873417721519,0.1772151898734177
