id,opera,aria,year,composer,Character,Clef 1,Clef 2,Clef 3
0001,Did03M,Son_regina,1724,Sarro,Didone,C-1,,
0002,Did12M,Non_ha,1770,Piccinni,Didone,C-1,,
0003,Did12M,Non_ha,1724,Sarro,Didone,C-1,,
0004,Did01M,Dovrei_ma,1730,Sarro,Enea,C-1,,
0005,Did02M,Diro_che,1730,Sarro,Selene,C-1,,
0006,Did03M,Son_regina,1730,Sarro,Didone,C-1,,
0007,Did12M,Non_ha,1730,Sarro,Didone,C-1,,
0008,Did03M,Son_regina,1739,Lampugnani,Didone,C-1,,
0009,Did18M,Ah_non_lasciarmi,1739,Lampugnani,Didone,C-1,,
0010,Did03M,Son_regina,1760,Bernasconi,Didone,C-1,,
0011,Did18M,Ah_non_lasciarmi,1760,Bernasconi,Didone,C-1,,
0012,Did03M,Son_regina,1742,Hasse,Didone,C-1,,
0013,Did12M,Non_ha,1742,Hasse,Didone,C-1,,
0014,Did12M,Non_ha,1747,Jommelli,Didone,C-1,,
0015,Did03M,Son_regina,1747,Jommelli,Didone,C-1,,
0016,Did03M,Son_regina,1749,Jommelli,Didone,C-1,,
0017,Did12M,Non_ha,1751,Perez,Didone,C-1,,
0018,Did12M,Non_ha,1762,Sarti,Didone,C-1,,
0019,Did12M,Non_ha,1763,Jommelli,Didone,C-1,,
0020,Did12M,Non_ha,1764,Galuppi,Didone,C-1,,
0021,Did12M,Non_ha,1775,Anfossi,Didone,C-1,,
0022,Did18M,Ah_non_lasciarmi,1742,Hasse,Didone,C-1,,
0023,Did02M,Diro_che,1724,Sarro,Selene,C-1,,
0024,Did06M,Se_dalle,1724,Sarro,Araspe,C-4,,
0025,Did01M,Dovrei_ma,1739,Lampugnani,Enea,C-1,,
0026,Did04M,Tu_mi_scorgi,1739,Lampugnani,Osmida,C-1,,
0027,Did05M,Fra_lo,1739,Lampugnani,Iarba,C-4,,
0028,Did07M,Quando_saprai,1739,Lampugnani,Enea,C-1,,
0029,Did01M,Dovrei_ma,1760,Bernasconi,Enea,C-1,,
0030,Did02M,Diro_che,1760,Bernasconi,Selene,C-1,,
0031,Did18M,Ah_non_lasciarmi,1747,Jommelli,Didone,C-1,,
0032,Did12M,Non_ha,1749,Jommelli,Didone,C-1,,
0033,Did03M,Son_regina,1751,Perez,Didone,C-1,,
0034,Did18M,Ah_non_lasciarmi,1751,Perez,Didone,C-1,,
0035,Did18M,Ah_non_lasciarmi,1763,Traetta,Didone,C-1,,
0036,Did18M,Ah_non_lasciarmi,1762,Sarti,Didone,C-1,,
0037,Did18M,Ah_non_lasciarmi,1764,Galuppi,Didone,C-1,,
0038,Did03M,Son_regina,1768,Boroni,Didone,C-1,,
0039,Did18M,Ah_non_lasciarmi,1768,Boroni,Didone,C-1,,
0040,Did03M,Son_regina,1769,Majo,Didone,C-1,,
0041,Did03M,Son_regina,1770,Piccinni,Didone,C-1,,
0042,Did18M,Ah_non_lasciarmi,1770,Piccinni,Didone,C-1,,
0043,Did03M,Son_regina,1775,Anfossi,Didone,C-1,,
0044,Did18M,Ah_non_lasciarmi,1775,Anfossi,Didone,C-1,,
0045,Did18M,Ah_non_lasciarmi,1769,Majo,Didone,C-1,,
0046,Did10M,Infelice_e,1724,Sarro,Araspe,C-4,,
0047,Did03M,Son_regina,1776,Schuster,Didone,C-1,,
0048,Did18M,Ah_non_lasciarmi,1749,Jommelli,Didone,C-1,,
0049,Did03M,Son_regina,1762,Sarti,Didone,C-1,,
0050,Did18M,Ah_non_lasciarmi,1763,Jommelli,Didone,C-1,,
0051,Did03M,Son_regina,1763,Jommelli,Didone,C-1,,
0052,Did18M,Ah_non_lasciarmi,1776,Schuster,Didone,C-1,,
0053,Did03M,Son_regina,1763,Traetta,Didone,C-1,,
0054,Did46X,Aura_con,1739,Lampugnani,Selene,C-1,,
0055,Did04M,Tu_mi_scorgi,1724,Sarro,Osmida,C-3,,
0056,Did05M,Fra_lo,1724,Sarro,Iarba,C-3,,
0057,Did07M,Quando_saprai,1724,Sarro,Enea,C-1,,
0058,Did08M,Ogni_amator,1724,Sarro,Selene,C-1,,
0059,Did09M,Son_quel,1724,Sarro,Iarba,C-3,,
0060,Did11M,Tu_mi_disarmi,1724,Sarro,Iarba,C-3,,
0061,Did13M,Se_resto,1724,Sarro,Enea,C-1,,
0062,Did04M,Tu_mi_scorgi,1730,Sarro,Osmida,C-4,,
0063,Did05M,Fra_lo,1730,Sarro,Iarba,C-4,,
0064,Did06M,Se_dalle,1730,Sarro,Araspe,C-1,,
0065,Did07M,Quando_saprai,1730,Sarro,Enea,C-1,,
0066,Did08M,Ogni_amator,1730,Sarro,Selene,C-1,,
0067,Did09M,Son_quel,1730,Sarro,Iarba,C-4,,
0068,Did10M,Infelice_e,1730,Sarro,Araspe,C-1,,
0069,Did14M,Pensa_che,1730,Sarro,Osmida,C-4,,
0070,Did15M,Leon_che,1739,Lampugnani,Iarba,C-4,,
0071,Did17M,L_augelletto,1739,Lampugnani,Araspe,C-1,,
0072,Did19M,Vedi_nel,1739,Lampugnani,Enea,C-1,,
0073,Did14X,Sono_tanti,1739,Lampugnani,Osmida,C-1,,
0074,Did40M,Tormento_il,1739,Lampugnani,Enea,C-1,,
0075,Did04M,Tu_mi_scorgi,1760,Bernasconi,Osmida,C-4,,
0076,Did06M,Se_dalle,1760,Bernasconi,Araspe,C-3,,
0077,Did07M,Quando_saprai,1760,Bernasconi,Enea,C-1,,
0078,Did09M,Son_quel,1760,Bernasconi,Iarba,C-4,,
0079,Did03M,Son_regina,1794,Paisiello,Didone,C-1,,
0080,Dem22M,Misero_pargoletto,1735,Leo,Timante,C-1,,
0081,Dem22M,Misero_pargoletto,1743,Jommelli,Timante,C-1,,
0082,Dem22M,Misero_pargoletto,1766,Bernasconi,Timante,C-1,,
0083,Dem22M,Misero_pargoletto,1748,Hasse,Timante,C-1,,
0086,Dem14M,Se_tutti,1735,Leo,Dircea,C-1,,
0087,Dem22M,Misero_pargoletto,1758,Ferradini,Timante,C-1,,
0088,Dem22M,Misero_pargoletto,1754,Manna,Timante,C-1,,
0089,Dem22M,Misero_pargoletto,1758,Galuppi,Timante,C-1,,
0090,Dem22M,Misero_pargoletto,1764,Jommelli,Timante,C-1,,
0091,Dem14M,Se_tutti,1743,Jommelli,Dircea,C-1,,
0092,Did13M,Se_resto,1730,Sarro,Enea,C-1,,
0093,Dem22M,Misero_pargoletto,1752,Perez,Timante,C-1,,
0094,Dem22M,Misero_pargoletto,1753,Jommelli,Timante,C-1,,
0095,Dem22M,Misero_pargoletto,1775,Myslivecek,Timante,C-1,,
0096,Dem22M,Misero_pargoletto,1758,Hasse,Timante,C-1,,
0097,Dem22M,Misero_pargoletto,1761,Piccinni,Timante,C-1,,
0098,Dem22M,Misero_pargoletto,1790,Errichelli,Timante,C-1,,
0099,Dem22M,Misero_pargoletto,1771,Sarti,Timante,C-1,,
0100,Dem22M,Misero_pargoletto,1746,Graun,Timante,C-1,,
0101,Did13M,Se_resto,1742,Hasse,Enea,C-3,,
0102,Dem22M,Misero_pargoletto,1776,Monza,Timante,C-1,,
0103,Did13M,Se_resto,1747,Jommelli,Enea,C-1,,
0104,Did13M,Se_resto,1776,Schuster,Enea,C-1,,
0105,Did13M,Se_resto,1751,Perez,Enea,C-1,,
0106,Did13M,Se_resto,1775,Anfossi,Enea,C-1,,
0107,Did13M,Se_resto,1763,Traetta,Enea,C-1,,
0108,Did13M,Se_resto,1749,Jommelli,Enea,C-1,,
0109,Did13M,Se_resto,1764,Galuppi,Enea,C-3,,
0110,Dem14M,Se_tutti,1758,Galuppi,Dircea,C-1,,
0111,Dem14M,Se_tutti,1758,Ferradini,Dircea,C-1,,
0112,Did13M,Se_resto,1770,Piccinni,Enea,C-1,,
0113,Dem14M,Se_tutti,1748,Hasse,Dircea,C-1,,
0114,Dem14M,Se_tutti,1754,Manna,Dircea,C-1,,
0115,Dem14M,Se_tutti,1752,Perez,Dircea,C-1,,
0116,Dem14M,Se_tutti,1753,Jommelli,Dircea,C-1,,
0117,Dem14M,Se_tutti,1749,Galuppi,Dircea,C-1,,
0118,Dem14M,Se_tutti,1758,Hasse,Dircea,C-1,,
0119,Dem14M,Se_tutti,1764,Jommelli,Dircea,C-1,,
0120,Dem14M,Se_tutti,1770,Jommelli,Dircea,C-1,,
0121,Did33M,Cadra_fra, nd,Wagenseil,Iarba,,,
0122,Dem14M,Se_tutti,1775,Myslivecek,Dircea,C-1,,
0123,Did33M,Cadra_fra,1742,Hasse,Iarba,C-1,,
0124,Did33M,Cadra_fra,1747,Jommelli,Iarba,C-4,,
0125,Did33M,Cadra_fra,1768,Boroni,Iarba,C-4,,
0126,Did33M,Cadra_fra,1770,Piccinni,Iarba,C-3,,
0127,Did33M,Cadra_fra,1769,Majo,Iarba,C-4,,
0128,Did33M,Cadra_fra,1762,Sarti,Iarba,C-4,,
0129,Did33M,Cadra_fra,1751,Perez,Iarba,C-4,,
0130,Did33M,Cadra_fra,1764,Galuppi,Iarba,C-1,,
0131,Did33M,Cadra_fra,1730,Sarro,Iarba,C-4,,
0132,Did33M,Cadra_fra,1776,Schuster,Iarba,C-4,,
0133,Did33M,Cadra_fra,1763,Traetta,Iarba,C-4,,
0134,Did03M,Son_regina,1764,Galuppi,Didone,C-1,,
0135,Did33M,Cadra_fra,1763,Jommelli,Iarba,C-4,,
0136,Did18M,Ah_non_lasciarmi,1794,Paisiello,Didone,C-1,,
0137,Did33M,Cadra_fra,1775,Anfossi,Iarba,C-4,,
0138,Did47X,Cara_lavverso,1739,Lampugnani,Didone&Enea,C-1,C-1,
0139,Did01M,Dovrei_ma,1724,Sarro,Enea,C-1,,
0140,Did10M,Infelice_e,1739,Lampugnani,Araspe,C-1,,
0141,Did19M,Vedi_nel,1730,Sarro,Enea,C-1,,
0142,Did15M,Leon_che,1730,Sarro,Iarba,C-4,,
0143,Did17M,L_augelletto,1730,Sarro,Araspe,C-1,,
0144,Did35M,Se_vuoi,1730,Sarro,Didone,C-1,,
0145,Did16M,Ardi_per,1730,Sarro,Selene,C-1,,
0146,Did18M,Ah_non_lasciarmi,1810,Paer,Didone,C-1,,
0147,Did11M,Tu_mi_disarmi,1742,Hasse,Iarba,C-1,,
0148,Did08M,Ogni_amator,1742,Hasse,Selene,C-1,,
0149,Did07M,Quando_saprai,1749,Jommelli,Enea,C-1,,
0150,Did04M,Tu_mi_scorgi,1749,Jommelli,Osmida,C-3,,
0151,Did07M,Quando_saprai,1742,Hasse,Enea,C-3,,
0152,Did08M,Ogni_amator,1749,Jommelli,Selene,C-1,,
0153,Did19M,Vedi_nel,1749,Jommelli,Enea,C-1,,
0154,Did20M,Fosca_nube,1730,Sarro,Iarba,C-4,,
0155,Did21M,Tacero_se,1730,Sarro,Araspe,C-1,,
0156,Did22M ,Non_cede,1730,Sarro,Enea,C-1,,
0157,Did23M,Veggio_la,1730,Sarro,Selene,C-1,,
0158,Did24M,Chiamami_pur,1730,Sarro,Iarba,C-4,,
0159,Did25M,Va_lusingando,1730,Sarro,Didone,C-1,,
0160,Did26M,Vivi_superbo,1730,Sarro,Enea,C-1,,
0161,Did37M,Agitata_e,1730,Sarro,Osmida,C-4,,
0162,Did44X,Se_ti,1730,Sarro,Araspe,C-1,,
0163,Did45X,Sorge_cosi,1730,Sarro,Araspe,C-1,,
0164,Did31M,Va_crescendo,1730,Sarro,Didone,C-1,,
0165,Did32M,Gia_si,1730,Sarro,Araspe,C-1,,
0166,Did34M,Vado_ma,1730,Sarro,Didone,C-1,,
0167,Did23M,Veggio_la,1739,Lampugnani,Enea,C-1,,
0168,Did24M,Chiamami_pur,1739,Lampugnani,Iarba,C-4,,
0169,Did50X,Parto_bell,1741,Bernasconi,Didone&Enea,C-1,C-1,
0170,Did14M,Pensa_che,1741,Bernasconi,Osmida,C-4,,
0171,Did15M,Leon_che,1741,Bernasconi,Iarba,C-4,,
0172,Did16M,Ardi_per,1741,Bernasconi,Selene,C-1,,
0173,Did19M,Vedi_nel,1760,Bernasconi,Enea,C-1,,
0174,Did21M,Tacero_se,1741,Bernasconi,Araspe,C-3,,
0175,Did51Xa,Ah_non_sai,1741,Bernasconi,Enea,C-1,,
0176,Did52X,Cosi_fra,1741,Bernasconi,Selene,C-1,,
0177,Did24M,Chiamami_pur,1760,Bernasconi,Iarba,C-4,,
0178,Did49M-Sem,Io_veggo,1741,Bernasconi,Didone,C-1,,
0179,Did28M,Quando_londa,1741,Bernasconi,Osmida,C-4,,
0180,Did29M,A_trionfar,1741,Bernasconi,Enea,C-1,,
0181,Did30M,Nel_duol,1760,Bernasconi,Selene,C-1,,
