AriaId,AriaId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,City,Territory,Character,Gender,Form,Key,KeySignature,KeySignatureType,Instrumentation,Scoring,Voices
0001,0001,Did03M-Son_regina-1724-Sarro[1.05][0001].xml,Did,Did03M,Son_regina,1,5,105,1724,1720s,Domenico Natale Sarro,Naples,Italy,Oboi i,Female,Dal segno,A,sss,s,"ob,vn,va,bs","obI,obII,sop,vnI,vnII,va,bs",sop
0005,0005,Did02M-Diro_che-1730-Sarro[1.03][0005].xml,Did,Did02M,Diro_che,1,3,103,1730,1730s,Domenico Natale Sarro,Naples,Italy,Selene,Female,Dal segno,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0006,0006,Did03M-Son_regina-1730-Sarro[1.05][0006].xml,Did,Did03M,Son_regina,1,5,105,1730,1730s,Domenico Natale Sarro,Naples,Italy,Oboi i,Female,Dal segno,A,sss,s,"ob,vn,va,bs","obI,obII,sop,vnI,vnII,va,bs",sop
0023,0023,Did02M-Diro_che-1724-Sarro[1.03][0023].xml,Did,Did02M,Diro_che,1,3,103,1724,1720s,Domenico Natale Sarro,Naples,Italy,Selene,Female,Da capo,g,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0030,0030,Did02M-Diro_che-1760-Bernasconi[1.03][0030].xml,Did,Did02M,Diro_che,1,3,103,1760,1760s,Andrea Bernasconi,Venice,Italy,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0186,0186,Did02M-Diro_che-1742-Hasse[1.03][0186].xml,Did,Did02M,Diro_che,1,3,103,1742,1740s,Johann Adolph Hasse,Wermsdorf,Empire,Flauti i,Female,Dal segno,G,s,s,"fl,ob,vn,va,bs","flI,flII,obI,obII,sop,vnI,vnII,va,bs",sop
0199,0199,Did02M-Diro_che-1747-Jommelli[1.03][0199].xml,Did,Did02M,Diro_che,1,3,103,1747,1740s,Niccolò Jommelli,Rome,Italy,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0202,0202,Did02M-Diro_che-1749-Jommelli[1.03][0202].xml,Did,Did02M,Diro_che,1,3,103,1749,1740s,Niccolò Jommelli,Vienna,Empire,Selene,Female,Da capo,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0233,0233,Did02M-Diro_che-1753-Perez[1.03][0233].xml,Did,Did02M,Diro_che,1,3,103,1753,1750s,Davide Perez,Genova,Italy,Selene,Female,Dal segno,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0243,0243,Did02M-Diro_che-1763-Traetta[1.03][0243].xml,Did,Did02M,Diro_che,1,3,103,1763,1760s,Tommaso Traetta,Venice,Italy,Selene,Female,Da capo,C,n,n,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0257,0257,Did01M-Dovrei_ma-1762-Sarti[1.02][0257].xml,Did,Did01M,Dovrei_ma,1,2,102,1762,1760s,Giuseppe Sarti,Copenhagen,Empire,Enea,Male,recit,E,ssss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0280,0280,Did01M-Dovrei_ma-1768-Boroni[1.02][0280].xml,Did,Did01M,Dovrei_ma,1,2,102,1768,1760s,Antonio Boroni,Prague,Empire,Enea,Male,AA ,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0285,0285,Did01M-Dovrei_ma-1769-Majo[1.03][0285].xml,Did,Did01M,Dovrei_ma,1,3,103,1769,1760s,Gian Francesco De Majo,Venice,Italy,Oboi i,Male,AA ,Bb,bb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
0291,0291,Did02M-Diro_che-1769-Majo[1.04][0291].xml,Did,Did02M,Diro_che,1,4,104,1769,1760s,Gian Francesco De Majo,Venice,Italy,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0292,0292,Did01M-Dovrei_ma-1810-Paer[1.02][0292].xml,Did,Did01M,Dovrei_ma,1,2,102,1810,1810s,Ferdinando Paër,Paris,France,Flauti i,Male,AA ,Bb,bb,b,"fl,ob,cl,bn,hn,vn,va,bs","flI,flII,obI,obII,clI,clII,bnI,bnII,hnI,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
0311,0311,Did01M-Dovrei_ma-1794-Paisiello[1.02][0311].xml,Did,Did01M,Dovrei_ma,1,2,102,1794,1790s,Giovanni Paisiello,Naples,Italy,Enea,Male,recit,A,sss,s,"vn,va,bs","sop,vnI,vnII,vaI,vaII,bs",sop
0314,0314,Did02M-Diro_che-1794-Paisiello[1.03][0314].xml,Did,Did02M,Diro_che,1,3,103,1794,1790s,Giovanni Paisiello,Naples,Italy,Flauti i,Female,AA,D,ss,s,"fl,hn,vn,va,bs","flI,flII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0328,0328,Did02M-Diro_che-1763-Jommelli[1.03][0328].xml,Did,Did02M,Diro_che,1,3,103,1763,1760s,Niccolò Jommelli,Stuttgart,Empire,Selene,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0337,0337,Did02M-Diro_che-1776-Schuster[1.03][0337].xml,Did,Did02M,Diro_che,1,3,103,1776,1770s,Joseph Schuster,Naples,Italy,Selene,Female,ABA,D,ss,s,"vn,va,bs","sop,vnI,vnII,vaI,vaII,bs",sop
0377,0377,Did01M-Dovrei_ma-1780-Astarita[1.02][0377].xml,Did,Did01M,Dovrei_ma,1,2,102,1780,1780s,Gennaro Astarita,Bratislava,Empire,Enea,Male,ABB,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0384,0384,Did02M-Diro_che-1726-Vinci[1.03][0384].xml,Did,Did02M,Diro_che,1,3,103,1726,1720s,Leonardo Vinci,Rome,Italy,Selene,Male,Da capo,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0417,0417,Dem02M-In_te-1733-Caldara[1.02][0417].xml,Dem,Dem02M,In_te,1,2,102,1733,1730s,Antonio Caldara,Vienna,Empire,Dircea,Female,Da capo,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0420,0420,Dem01M-O_piu-1733-Caldara[1.01][0420].xml,Dem,Dem01M,O_piu,1,1,101,1733,1730s,Antonio Caldara,Vienna,Empire,Matusio,Male,Da capo,g,bb,b,"vn,va,bs","ten,vnI,vnII,va,bs",ten
0430,0430,Dem01M-O_piu-1735-Leo[1.01][0430].xml,Dem,Dem01M,O_piu,1,1,101,1735,1730s,Leonardo Leo,Naples,Italy,Oboi i,Male,Da capo,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0431,0431,Dem02M-In_te-1735-Sarro[1.02][0431].xml,Dem,Dem02M,In_te,1,2,102,1735,1730s,Domenico Natale Sarro,Naples,Italy,Dircea,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0443,0443,Dem01M-O_piu-1775-Myslivecek[1.01][0443].xml,Dem,Dem01M,O_piu,1,1,101,1775,1770s,Josef Mysliveček,Naples,Italy,Corni in fa i,Male,ABA,C,n,n,"hn,vn,va,bs","hnI,hnII,sop,vnI,vnII,va,bs",sop
0463,0463,Dem01M-O_piu-1743-Jommelli[1.01][0463].xml,Dem,Dem01M,O_piu,1,1,101,1743,1740s,Niccolò Jommelli,Padua,Italy,Oboi i,Male,Da capo,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0471,0471,Dem25M-Non_dura-1735-Leo[3.07][0471].xml,Dem,Dem25M,Non_dura,3,7,307,1735,1730s,Leonardo Leo,Naples,Italy,Dircea,Female,Da capo,d,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0478,0478,Dem01M-O_piu-1735-Schiassi[1.01][0478].xml,Dem,Dem01M,O_piu,1,1,101,1735,1730s,Gaetano Maria Schiassi,Venice,Italy,Matusio,Male,Dal segno,Bb,bb,b,"vn,va,bs","ten,vnI,vnII,va,bs",ten
0479,0479,Dem02M-In_te-1735-Schiassi[1.02][0479].xml,Dem,Dem02M,In_te,1,2,102,1735,1730s,Gaetano Maria Schiassi,Venice,Italy,Dircea,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0485,0485,Did02M-Diro_che-1752-Galuppi[1.03][0485].xml,Did,Did02M,Diro_che,1,3,103,1752,1750s,Baldassare Galuppi,NA,NA,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,vaI,vaII,bs",sop
0535,0535,Dem23M-Odo_il-1766-Bernasconi[3.06][0535].xml,Dem,Dem23M,Odo_il,3,6,306,1766,1760s,Andrea Bernasconi,Munich,Empire,Oboi i,Male,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnI,hnII,hnII,ten,vnI,vnII,va,bs",ten
0537,0537,Dem25M-Non_dura-1766-Bernasconi[3.08][0537].xml,Dem,Dem25M,Non_dura,3,8,308,1766,1760s,Andrea Bernasconi,Munich,Empire,Creusa,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0540,0540,Dem01M-O_piu-1748-Hasse[1.01][0540].xml,Dem,Dem01M,O_piu,1,1,101,1748,1740s,Johann Adolph Hasse,Dresden,Empire,Flauti i,Male,Dal segno,Bb,bb,b,"fl,ob,vn,va,bs","flI,flII,obI,obII,sop,vnI,vnII,va,bs",sop
0555,0555,Dem25M-Non_dura-1735-Schiassi[3.08][0555].xml,Dem,Dem25M,Non_dura,3,8,308,1735,1730s,Gaetano Maria Schiassi,Venice,Italy,Creusa,Female,Dal segno,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0556,0556,Dem25M-Non_dura-1748-Hasse[3.08][0556].xml,Dem,Dem25M,Non_dura,3,8,308,1748,1740s,Johann Adolph Hasse,Dresden,Empire,Flauti i,Female,Dal segno,A,sss,s,"fl,ob,vn,va,bs","flI,flII,obI,obII,sop,vnI,vnII,va,bs",sop
0561,0561,Dem01M-O_piu-1758-Hasse[1.01][0561].xml,Dem,Dem01M,O_piu,1,1,101,1758,1750s,Johann Adolph Hasse,Naples,Italy,Oboi i,Male,Dal segno,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0583,0583,Dem01M-O_piu-1743-Gluck[1.01][0583].xml,Dem,Dem01M,O_piu,1,1,101,1743,1740s,Christoph Willibald Gluck,Milan,Italy,Corni in fa i,Male,Dal segno,F,b,b,"hn,vn,va,bs","hnI,hnII,ten,vnI,vnII,va,bs",ten
0602,0602,Dem25M-Non_dura-1743-Gluck[3.08][0602].xml,Dem,Dem25M,Non_dura,3,8,308,1743,1740s,Christoph Willibald Gluck,Milan,Italy,Corni in sol i,Female,Da capo,G,s,s,"hn,vn,va,bs","hnI,hnII,sop,vnI,vnII,va,bs",sop
0613,0613,Dem01M-O_piu-1761-Piccinni[1.01][0613].xml,Dem,Dem01M,O_piu,1,1,101,1761,1760s,Niccolò Piccinni,Reggio Emilia,Italy,Oboi i,Male,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0633,0633,Dem25M-Non_dura-1761-Piccinni[3.07][0633].xml,Dem,Dem25M,Non_dura,3,7,307,1761,1760s,Niccolò Piccinni,Reggio Emilia,Italy,Creusa,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
