Act,ActAndScene,AriaId,AriaLabel,AriaName,AriaOpera,Character,City,Clef1,Clef2,Clef3,Composer,Decade,EndOfThemeA,FamilyBr_Notes,FamilyBr_NotesMean,FamilyBr_NumberOfFilteredParts,FamilyBr_NumberOfParts,FamilyBr_SoundingMeasures,FamilyBr_SoundingMeasuresMean,FamilyInstrumentation,FamilyScoring,FamilyStr_Notes,FamilyStr_NotesMean,FamilyStr_NumberOfFilteredParts,FamilyStr_NumberOfParts,FamilyStr_SoundingMeasures,FamilyStr_SoundingMeasuresMean,FamilyVoice_Notes,FamilyVoice_NotesMean,FamilyVoice_NumberOfFilteredParts,FamilyVoice_NumberOfParts,FamilyVoice_SoundingMeasures,FamilyVoice_SoundingMeasuresMean,FamilyWw_Notes,FamilyWw_NotesMean,FamilyWw_NumberOfFilteredParts,FamilyWw_NumberOfParts,FamilyWw_SoundingMeasures,FamilyWw_SoundingMeasuresMean,FileName,Form,Gender,Instrumentation,Label_BasicPassion,Label_Passions,Label_Sentiment,Label_Time,Librettist,Measures,PartAlt_DynAbruptness,PartAlt_DynGrad,PartAlt_DynMean,PartAlt_DynMean_weighted,PartAlt_Notes,PartAlt_SoundingMeasures,PartBar_DynAbruptness,PartBar_DynGrad,PartBar_DynMean,PartBar_DynMean_weighted,PartBar_Notes,PartBar_SoundingMeasures,PartBass_DynAbruptness,PartBass_DynGrad,PartBass_DynMean,PartBass_DynMean_weighted,PartBass_Notes,PartBass_SoundingMeasures,PartBnII_DynAbruptness,PartBnII_DynGrad,PartBnII_DynMean,PartBnII_DynMean_weighted,PartBnII_Notes,PartBnII_SoundingMeasures,PartBnI_DynAbruptness,PartBnI_DynGrad,PartBnI_DynMean,PartBnI_DynMean_weighted,PartBnI_Notes,PartBnI_SoundingMeasures,PartBn_DynAbruptness,PartBn_DynGrad,PartBn_DynMean,PartBn_DynMean_weighted,PartBn_Notes,PartBn_SoundingMeasures,PartBs_DynAbruptness,PartBs_DynGrad,PartBs_DynMean,PartBs_DynMean_weighted,PartBs_Notes,PartBs_SoundingMeasures,PartClII_DynAbruptness,PartClII_DynGrad,PartClII_DynMean,PartClII_DynMean_weighted,PartClII_Notes,PartClII_SoundingMeasures,PartClI_DynAbruptness,PartClI_DynGrad,PartClI_DynMean,PartClI_DynMean_weighted,PartClI_Notes,PartClI_SoundingMeasures,PartCl_DynAbruptness,PartCl_DynGrad,PartCl_DynMean,PartCl_DynMean_weighted,PartCl_Notes,PartCl_SoundingMeasures,PartFlII_DynAbruptness,PartFlII_DynGrad,PartFlII_DynMean,PartFlII_DynMean_weighted,PartFlII_Notes,PartFlII_SoundingMeasures,PartFlI_DynAbruptness,PartFlI_DynGrad,PartFlI_DynMean,PartFlI_DynMean_weighted,PartFlI_Notes,PartFlI_SoundingMeasures,PartHnII_DynAbruptness,PartHnII_DynGrad,PartHnII_DynMean,PartHnII_DynMean_weighted,PartHnII_Notes,PartHnII_SoundingMeasures,PartHnI_DynAbruptness,PartHnI_DynGrad,PartHnI_DynMean,PartHnI_DynMean_weighted,PartHnI_Notes,PartHnI_SoundingMeasures,PartHn_DynAbruptness,PartHn_DynGrad,PartHn_DynMean,PartHn_DynMean_weighted,PartHn_Notes,PartHn_SoundingMeasures,PartObII_DynAbruptness,PartObII_DynGrad,PartObII_DynMean,PartObII_DynMean_weighted,PartObII_Notes,PartObII_SoundingMeasures,PartObI_DynAbruptness,PartObI_DynGrad,PartObI_DynMean,PartObI_DynMean_weighted,PartObI_Notes,PartObI_SoundingMeasures,PartOb_DynAbruptness,PartOb_DynGrad,PartOb_DynMean,PartOb_DynMean_weighted,PartOb_Notes,PartOb_SoundingMeasures,PartSop_DynAbruptness,PartSop_DynGrad,PartSop_DynMean,PartSop_DynMean_weighted,PartSop_Notes,PartSop_SoundingMeasures,PartTen_DynAbruptness,PartTen_DynGrad,PartTen_DynMean,PartTen_DynMean_weighted,PartTen_Notes,PartTen_SoundingMeasures,PartTptII_DynAbruptness,PartTptII_DynGrad,PartTptII_DynMean,PartTptII_DynMean_weighted,PartTptII_Notes,PartTptII_SoundingMeasures,PartTptI_DynAbruptness,PartTptI_DynGrad,PartTptI_DynMean,PartTptI_DynMean_weighted,PartTptI_Notes,PartTptI_SoundingMeasures,PartVaII_DynAbruptness,PartVaII_DynGrad,PartVaII_DynMean,PartVaII_DynMean_weighted,PartVaII_Notes,PartVaII_SoundingMeasures,PartVaI_DynAbruptness,PartVaI_DynGrad,PartVaI_DynMean,PartVaI_DynMean_weighted,PartVaI_Notes,PartVaI_SoundingMeasures,PartVa_DynAbruptness,PartVa_DynGrad,PartVa_DynMean,PartVa_DynMean_weighted,PartVa_Notes,PartVa_SoundingMeasures,PartVnIII_DynAbruptness,PartVnIII_DynGrad,PartVnIII_DynMean,PartVnIII_DynMean_weighted,PartVnIII_Notes,PartVnIII_SoundingMeasures,PartVnII_DynAbruptness,PartVnII_DynGrad,PartVnII_DynMean,PartVnII_DynMean_weighted,PartVnII_Notes,PartVnII_SoundingMeasures,PartVnIV_DynAbruptness,PartVnIV_DynGrad,PartVnIV_DynMean,PartVnIV_DynMean_weighted,PartVnIV_Notes,PartVnIV_SoundingMeasures,PartVnI_DynAbruptness,PartVnI_DynGrad,PartVnI_DynMean,PartVnI_DynMean_weighted,PartVnI_Notes,PartVnI_SoundingMeasures,RoleType,Scene,Score_DynAbruptness,Score_DynGrad,Score_DynMean,Score_DynMean_weighted,Score_Notes,Score_NotesMean,Score_NumberOfFilteredParts,Score_NumberOfParts,Score_SoundingMeasures,Score_SoundingMeasuresMean,Scoring,SoundAlt_Notes,SoundAlt_NotesMean,SoundAlt_NumberOfFilteredParts,SoundAlt_NumberOfParts,SoundAlt_SoundingMeasures,SoundAlt_SoundingMeasuresMean,SoundBar_Notes,SoundBar_NotesMean,SoundBar_NumberOfFilteredParts,SoundBar_NumberOfParts,SoundBar_SoundingMeasures,SoundBar_SoundingMeasuresMean,SoundBass_Notes,SoundBass_NotesMean,SoundBass_NumberOfFilteredParts,SoundBass_NumberOfParts,SoundBass_SoundingMeasures,SoundBass_SoundingMeasuresMean,SoundBn_Notes,SoundBn_NotesMean,SoundBn_NumberOfFilteredParts,SoundBn_NumberOfParts,SoundBn_SoundingMeasures,SoundBn_SoundingMeasuresMean,SoundBs_Notes,SoundBs_NotesMean,SoundBs_NumberOfFilteredParts,SoundBs_NumberOfParts,SoundBs_SoundingMeasures,SoundBs_SoundingMeasuresMean,SoundCl_Notes,SoundCl_NotesMean,SoundCl_NumberOfFilteredParts,SoundCl_NumberOfParts,SoundCl_SoundingMeasures,SoundCl_SoundingMeasuresMean,SoundFl_Notes,SoundFl_NotesMean,SoundFl_NumberOfFilteredParts,SoundFl_NumberOfParts,SoundFl_SoundingMeasures,SoundFl_SoundingMeasuresMean,SoundHn_Notes,SoundHn_NotesMean,SoundHn_NumberOfFilteredParts,SoundHn_NumberOfParts,SoundHn_SoundingMeasures,SoundHn_SoundingMeasuresMean,SoundOb_Notes,SoundOb_NotesMean,SoundOb_NumberOfFilteredParts,SoundOb_NumberOfParts,SoundOb_SoundingMeasures,SoundOb_SoundingMeasuresMean,SoundScoring,SoundSop_Notes,SoundSop_NotesMean,SoundSop_NumberOfFilteredParts,SoundSop_NumberOfParts,SoundSop_SoundingMeasures,SoundSop_SoundingMeasuresMean,SoundTen_Notes,SoundTen_NotesMean,SoundTen_NumberOfFilteredParts,SoundTen_NumberOfParts,SoundTen_SoundingMeasures,SoundTen_SoundingMeasuresMean,SoundTpt_Notes,SoundTpt_NotesMean,SoundTpt_NumberOfFilteredParts,SoundTpt_NumberOfParts,SoundTpt_SoundingMeasures,SoundTpt_SoundingMeasuresMean,SoundVa_Notes,SoundVa_NotesMean,SoundVa_NumberOfFilteredParts,SoundVa_NumberOfParts,SoundVa_SoundingMeasures,SoundVa_SoundingMeasuresMean,SoundVn_Notes,SoundVn_NotesMean,SoundVn_NumberOfFilteredParts,SoundVn_NumberOfParts,SoundVn_SoundingMeasures,SoundVn_SoundingMeasuresMean,Territory,Voices,Year
2,208,0459,Dem16M,Felice_eta,Dem,Creusa,Naples,C-1,,,Francesco Mancini,1730s,104.0,,,,,,,str,"voice,str",1181,295.25,4,4,403,100.75,186,186.0,1,1,65,65.0,,,,,,,Dem16M-Felice_eta-1735-Mancini[2.08][0459].xml,Da capo,Female,"vn,va,bs",sadness,"repentance,irresolution",Negative,Past,Pietro Metastasio,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6737552831783601,10.218621794871796,64.28571428571429,68.42857142857143,228,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,186.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177163461538462,5.507083333333334,71.28571428571429,66.0,260.0,104.0,,,,,,,0.3509575039032006,6.08326340098881,71.28571428571429,66.125,317,104,,,,,,,0.3509575039032006,6.08326340098881,71.28571428571429,66.125,376,104,Female lover 2,08,0.42334665928465187,6.973057982545687,69.53571428571429,66.66964285714286,1367,273.4,5,5,468,93.6,"sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,228,228.0,1,1,91,91.0,,,,,,,,,,,,,,,,,,,,,,,,,"sop,vn,va,bs",186.0,186.0,1.0,1.0,65.0,65.0,,,,,,,,,,,,,260,260.0,1,1,104,104.0,693,346.5,2,2,208,104.0,Italy,sop,1735
2,208,0403,Dem16M,Felice_eta,Dem,Creusa,Vienna,C-1,,,Antonio Caldara,1730s,38.0,,,,,,,str,"voice,str",1108,277.0,4,4,124,31.0,168,168.0,1,1,19,19.0,,,,,,,Dem16M-Felice_eta-1733-Caldara[2.08][0403].xml,Da capo,Female,"vn,va,bs",sadness,"repentance,irresolution",Negative,Past,Pietro Metastasio,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3621594592606367,7.484628824719825,51.714285714285715,74.62903225806451,226,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,168.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529721168893704,8.475538702299264,44.714285714285715,80.97916666666667,132.0,24.0,,,,,,,0.4040914076139125,9.428799510991292,44.714285714285715,56.61071428571429,363,35,,,,,,,0.3172443316602388,7.190871517632079,44.714285714285715,53.45955882352941,387,34,Female lover 2,08,0.403304091857123,8.144959638910615,46.464285714285715,66.41961800849373,1276,255.2,5,5,143,28.6,"sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,226,226.0,1,1,31,31.0,,,,,,,,,,,,,,,,,,,,,,,,,"sop,vn,va,bs",168.0,168.0,1.0,1.0,19.0,19.0,,,,,,,,,,,,,132,132.0,1,1,24,24.0,750,375.0,2,2,69,34.5,Empire,sop,1733
2,208,0514,Dem16M,Felice_eta,Dem,Creusa,Venice,C-3,,,Gaetano Maria Schiassi,1730s,56.5,,,,,,,str,"voice,str",1042,260.5,4,4,222,55.5,213,213.0,1,1,38,38.0,,,,,,,Dem16M-Felice_eta-1734-Schiassi[2.08][0514].xml,Dal segno,Female,"vn,va,bs",sadness,"repentance,irresolution",Negative,Past,Pietro Metastasio,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.976886363636365,34.60302631578948,54.8,61.4,192,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,213.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.976886363636365,34.60302631578948,54.8,61.4,190.0,55.0,,,,,,,5.360509830891606,31.5987947926242,59.2,60.16294642857143,309,56,,,,,,,5.3114949419171475,31.309864920774764,59.2,60.220982142857146,351,56,Female lover 2,08,5.656444375020371,33.02867808624448,57.0,60.79598214285714,1255,251.0,5,5,260,52.0,"sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,192,192.0,1,1,55,55.0,,,,,,,,,,,,,,,,,,,,,,,,,"sop,vn,va,bs",213.0,213.0,1.0,1.0,38.0,38.0,,,,,,,,,,,,,190,190.0,1,1,55,55.0,660,330.0,2,2,112,56.0,Italy,sop,1734
2,208,0949,Dem15M,No_non,Dem,Cherinto,Naples,C-1,,,Niccolò Jommelli,1770s,38.0,,,,,,,str,"voice,str",1224,306.0,4,4,152,38.0,183,183.0,1,1,21,21.0,,,,,,,Dem15M-No_non-1770-Jommelli[2.08][0949].xml,ABA,Male,"vn,va,bs",,,,,Pietro Metastasio,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7053520754607714,20.560675773501863,69.71428571428571,62.69407894736842,239,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,183.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7053520754607714,20.560675773501863,69.71428571428571,62.69407894736842,248.0,38.0,,,,,,,1.2201061155089543,9.272806477868054,69.71428571428571,63.45723684210526,350,38,,,,,,,1.235704376421878,9.391353260806273,69.71428571428571,62.94407894736842,387,38,Male lover 2,08,1.9666286607130938,14.946377821419514,69.71428571428571,62.94736842105263,1407,281.4,5,5,173,34.6,"sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,239,239.0,1,1,38,38.0,,,,,,,,,,,,,,,,,,,,,,,,,"sop,vn,va,bs",183.0,183.0,1.0,1.0,21.0,21.0,,,,,,,,,,,,,248,248.0,1,1,38,38.0,737,368.5,2,2,76,38.0,Italy,sop,1770
1,107,0529,Dem15M,No_non,Dem,Cherinto,Munich,C-1,,,Andrea Bernasconi,1760s,110.0,,,,,,,str,"voice,str",2129,532.25,4,4,440,110.0,426,426.0,1,1,79,79.0,,,,,,,Dem15M-No_non-1766-Bernasconi[1.07][0529].xml,Dal segno,Male,"vn,va,bs",desire,"hope,love",Positive,Future,Pietro Metastasio,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5872111436135143,9.569366784812827,68.5,59.99090909090909,418,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,426.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5872111436135143,9.569366784812827,68.5,59.99090909090909,410.0,110.0,,,,,,,0.6637652223043128,10.070920614272332,68.5,60.16818181818182,634,110,,,,,,,0.6637652223043128,10.070920614272332,68.5,60.16818181818182,667,110,Male lover 2,07,0.6254881829589136,9.82014369954258,68.5,60.07954545454545,2555,511.0,5,5,519,103.8,"sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,418,418.0,1,1,110,110.0,,,,,,,,,,,,,,,,,,,,,,,,,"sop,vn,va,bs",426.0,426.0,1.0,1.0,79.0,79.0,,,,,,,,,,,,,410,410.0,1,1,110,110.0,1301,650.5,2,2,220,110.0,Empire,sop,1766
2,207,0931,Dem15M,No_non,Dem,Cherinto,Stuttgart,C-1,,,Niccolò Jommelli,1760s,76.0,,,,,,,str,"voice,str",2190,547.5,4,4,303,75.75,437,437.0,1,1,57,57.0,,,,,,,Dem15M-No_non-1764-Jommelli[2.07][0931].xml,Dal segno,Male,"vn,va,bs",,,,,Pietro Metastasio,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.377718221253824,20.07850942392118,69.1891891891892,63.891447368421055,411,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,437.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4867346229340335,20.72278852445028,67.86486486486487,64.27,388.0,75.0,,,,,,,5.5025399270020126,32.16869495785792,68.98113207547169,63.19572368421053,651,76,,,,,,,5.39489471124132,31.539384465718488,68.98113207547169,63.00328947368421,740,76,Male lover 2,07,3.9404718706077975,26.127344342986966,68.75407955124936,63.59011513157895,2627,525.4,5,5,360,72.0,"sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,411,411.0,1,1,76,76.0,,,,,,,,,,,,,,,,,,,,,,,,,"sop,vn,va,bs",437.0,437.0,1.0,1.0,57.0,57.0,,,,,,,,,,,,,388,388.0,1,1,75,75.0,1391,695.5,2,2,152,76.0,Empire,sop,1764
2,210,0404,Dem17M,Perfidi_gia,Dem,Demofoonte,Vienna,C-3,,,Antonio Caldara,1730s,41.0,,,,,,,str,"voice,str",1335,333.75,4,4,134,33.5,184,184.0,1,1,22,22.0,,,,,,,Dem17M-Perfidi_gia-1733-Caldara[2.10][0404].xml,Da capo,Male,"vn,va,bs",hatred,"anger,pride",Negative,Present,Pietro Metastasio,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30956403363440593,4.615318319640234,68.5,74.80182926829268,276,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,184.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1842236904981664,12.236978135147721,51.92307692307692,82.52822580645162,353.0,31.0,,,,,,,1.1842236904981664,12.236978135147721,51.92307692307692,82.52822580645162,353,31,,,,,,,1.1842236904981664,12.236978135147721,51.92307692307692,82.52822580645162,353,31,Senior ruler,10,0.9655587762822263,10.33156318127085,56.06730769230769,80.59662667191188,1519,303.8,5,5,156,31.2,"ten,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,276,276.0,1,1,41,41.0,,,,,,,,,,,,,,,,,,,,,,,,,"ten,vn,va,bs",,,,,,,184.0,184.0,1.0,1.0,22.0,22.0,,,,,,,353,353.0,1,1,31,31.0,706,353.0,2,2,62,31.0,Empire,ten,1733
2,207,0489,Dem15M,No_non,Dem,Cherinto,Naples,C-1,,,Josef Mysliveček,1770s,63.0,,,,,,,str,"voice,str",1679,419.75,4,4,252,63.0,241,241.0,1,1,41,41.0,,,,,,,Dem15M-No_non-1775-Myslivecek[2.07][0489].xml,ABA,Male,"vn,va,bs",desire,"hope,love",Positive,Future,Pietro Metastasio,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3752480158730159,5.910156250000001,69.17647058823529,65.58730158730158,377,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,241.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7240665710728735,11.404048494397758,69.17647058823529,65.39285714285714,356.0,63.0,,,,,,,0.736354874660767,10.308968245250737,69.10526315789474,65.31547619047619,481,63,,,,,,,0.38765365455292644,5.4271511637409695,69.10526315789474,65.54861111111111,465,63,Male lover 2,07,0.5558307790398958,8.262581038347367,69.14086687306502,65.4610615079365,1920,384.0,5,5,293,58.6,"sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,377,377.0,1,1,63,63.0,,,,,,,,,,,,,,,,,,,,,,,,,"sop,vn,va,bs",241.0,241.0,1.0,1.0,41.0,41.0,,,,,,,,,,,,,356,356.0,1,1,63,63.0,946,473.0,2,2,126,63.0,Italy,sop,1775
2,209,0597,Dem16M,Felice_eta,Dem,Creusa,Milan,C-1,,,Christoph Willibald Gluck,1740s,97.0,282.0,141.0,2.0,2.0,136.0,68.0,"br,str","br,voice,str",2206,551.5,4,4,386,96.5,240,240.0,1,1,60,60.0,,,,,,,Dem16M-Felice_eta-1743-Gluck[2.09][0597].xml,Da capo,Female,"hn,vn,va,bs",sadness,"repentance,irresolution",Negative,Past,Pietro Metastasio,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44561640716413153,9.506483352834806,68.5,66.55902777777779,572,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1478888146167556,8.67293771043771,39.31578947368421,50.93382352941177,141.0,68.0,0.9424353832442068,6.408560606060607,35.57142857142857,19.169117647058822,141.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,240.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44561640716413153,9.506483352834806,68.5,66.55902777777779,570.0,96.0,,,,,,,0.4863802022364571,10.484195470430299,68.5,65.95704467353953,530,97,,,,,,,0.4863397339460456,10.483323153948096,68.5,65.89003436426117,534,97,Female lover 2,09,0.6590461580619547,9.176997274424387,58.147869674185465,55.844679294971144,2728,389.7142857142857,7,7,582,83.14285714285714,"hnI,hnII,sop,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,572,572.0,1,1,96,96.0,,,,,,,,,,,,,282.0,141.0,2.0,2.0,136.0,68.0,,,,,,,"hn,sop,vn,va,bs",240.0,240.0,1.0,1.0,60.0,60.0,,,,,,,,,,,,,570,570.0,1,1,96,96.0,1064,532.0,2,2,194,97.0,Italy,sop,1743
2,210,0888,Dem17M,Giacche_vivendo,Dem,Demofoonte,Venice,C-4,,,Johann Adolph Hasse,1740s,70.0,,,,,,,str,"voice,str",3540,885.0,4,4,277,69.25,224,224.0,1,1,48,48.0,,,,,,,Dem17M-Giacche_vivendo-1749-Hasse[2.10][0888].xml,Dal segno,Male,"vn,va,bs",,,,,Pietro Metastasio,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9958009834368527,10.570810439560436,70.44444444444444,72.11050724637681,540,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,224.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2780221514739605,13.566696684877426,70.44444444444444,72.10326086956522,1040.0,69.0,,,,,,,1.2778019184532157,13.564358826657212,70.44444444444444,72.0751811594203,1072,69,,,,,,,1.2709699966030132,13.687369194186298,70.44444444444444,71.23035714285714,888,70,Senior ruler,10,1.2056487624917605,12.847308786320344,70.44444444444444,71.87982660455486,3764,752.8,5,5,325,65.0,"ten,vnI,vnII,va,bs",,,,,,,,,,,,,,,,,,,,,,,,,540,540.0,1,1,69,69.0,,,,,,,,,,,,,,,,,,,,,,,,,"ten,vn,va,bs",,,,,,,224.0,224.0,1.0,1.0,48.0,48.0,,,,,,,1040,1040.0,1,1,69,69.0,1960,980.0,2,2,139,69.5,Italy,ten,1749
