,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
0,1,1,0,0,0,4/4,1,1,.G.I{,,G,I,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
1,1,1,0,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
2,2,2,1,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
3,2,2,1,1/2,1/2,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
4,2,2,1,3/4,3/4,4/4,1,1,.It6/V,,G,I,,It6/V,It,vii,o,6,b3,V/V,,It,False,False,"(-3, 1, 7)",(),7,-3
5,3,3,2,0,0,4/4,1,1,v,,G,I,,v,,v,,,,,,m,False,False,"(1, -2, 2)",(),1,1
6,3,3,2,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
7,4,4,3,0,0,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
8,4,4,3,1/4,1/4,4/4,1,1,.I6/V,,G,I,,I6/V,,I,,6,,V,,M,False,False,"(5, 2, 1)",(),1,5
9,4,4,3,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
10,4,4,3,7/8,7/8,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
11,5,5,4,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
12,6,6,5,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
13,6,6,5,3/4,3/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
14,7,7,6,0,0,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
15,7,7,6,1/4,1/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
16,7,7,6,1/2,1/2,4/4,1,1,V\\,,G,I,,V,,V,,,,,\\,M,False,False,"(1, 5, 2)",(),1,1
17,8,8,7,0,0,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
18,8,8,7,1/2,1/2,4/4,1,1,I64,,G,I,,I64,,I,,64,,,,M,False,False,"(1, 0, 4)",(),0,1
19,9,9,8,0,0,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
20,9,9,8,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
21,10,10,9,0,0,4/4,1,1,ii2,,G,I,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
22,10,10,9,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
23,11,11,10,0,0,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
24,11,11,10,1/4,1/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
25,11,11,10,1/2,1/2,4/4,1,1,I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
26,12,12,11,1/2,1/2,4/4,1,1,V(64),,G,I,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
27,12,12,11,3/4,3/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
