,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,offset_x,offset_y,offset,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
0,1,1,0,0,0,3/8,1,1,.Bb.I{,,,,,Bb,I,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
1,3,3,2,0,0,3/8,1,1,IV,,,,,Bb,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
2,3,3,2,1/4,1/4,3/8,1,1,viio6,,,,,Bb,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
3,4,4,3,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
4,5,5,4,0,0,3/8,1,1,IV,,,,,Bb,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
5,5,5,4,1/4,1/4,3/8,1,1,viio6,,,,,Bb,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
6,6,6,5,0,0,3/8,1,1,I\\,,,,,Bb,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
7,7,7,6,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
8,8,8,7,0,0,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
9,8,8,7,1/8,1/8,3/8,1,1,viio6/V,,,,,Bb,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
10,8,8,7,1/4,1/4,3/8,1,1,V,I/V,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
11,9,9,8,0,0,3/8,1,1,viio/V,,,,,Bb,I,,viio/V,,vii,o,,,V,,o,False,False,"(6, 3, 0)",(),6,6
12,10,10,9,0,0,3/8,1,1,I/V\\,,,,,Bb,I,,I/V,,I,,,,V,\\,M,False,False,"(1, 5, 2)",(),1,1
13,10,10,9,1/8,1/8,3/8,1,1,}{,,,,,Bb,I,,,,,,,,,}{,,False,False,,,,
14,11,11,10,0,0,3/8,1,1,V.I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
15,11,11,10,1/4,1/4,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
16,12,12,11,0,0,3/8,1,1,V(64),,-0.481955,-5.82102,/,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
17,12,12,11,1/8,1/8,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
18,13,13,12,0,0,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
19,13,13,12,1/8,1/8,3/8,1,1,V65,,,,,Bb,V,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
20,14,14,13,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
21,14,14,13,1/8,1/8,3/8,1,1,}{,,,,,Bb,V,,,,,,,,,}{,,False,False,,,,
22,15,15,14,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
23,16,16,15,0,0,3/8,1,1,viio6,,,,,Bb,V,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
24,16,16,15,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
25,17,17,16,0,0,3/8,1,1,V2/V,,,,,Bb,V,,V2/V,,V,,2,,V,,Mm7,False,False,"(0, 2, 6, 3)",(),2,0
26,17,17,16,1/4,1/4,3/8,1,1,V6,,,,,Bb,V,,V6,,V,,6,,,,M,False,False,"(5, 2, 1)",(),1,5
27,18,18,17,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
28,18,18,17,1/8,1/8,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
29,18,18,17,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
30,19,19,18,0,0,3/8,1,1,I\\,,,,,Bb,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
31,19,19,18,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
32,20,20,19,0,0,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
33,20,20,19,1/8,1/8,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
34,21,21,20,0,0,3/8,1,1,V7,,,,,Bb,V,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
35,21,21,20,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
36,22,22,21,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
37,22,22,21,1/8,1/8,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
38,23,23,22,0,0,3/8,1,1,ii,,,,,Bb,V,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
39,23,23,22,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
40,24,24,23,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
41,24,24,23,1/8,1/8,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
42,24,24,23,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
43,25,25,24,0,0,3/8,1,1,I},,,,,Bb,V,,I,,I,,,,,},M,False,False,"(0, 4, 1)",(),0,0
44,25,25,24,1/8,1/8,3/8,1,1,{,,,,,Bb,V,,,,,,,,,{,,False,False,,,,
