AriaId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,City,Territory,Character,Gender,Form,Key,KeySignature,KeySignatureType,Instrumentation,Scoring,Voices
0001,Did03M-Son_regina-1724-Sarro[1.05][0001].xml,Did,Did03M,Son_regina,1,5,105,1724,1720s,Domenico Natale Sarro,Naples,Italy,Didone,Female,Dal segno,A,sss,s,"ob,vn,va,bs","obI,obII,sop,vnI,vnII,va,bs",sop
0005,Did02M-Diro_che-1730-Sarro[1.03][0005].xml,Did,Did02M,Diro_che,1,3,103,1730,1730s,Domenico Natale Sarro,Naples,Italy,Selene,Female,Dal segno,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0006,Did03M-Son_regina-1730-Sarro[1.05][0006].xml,Did,Did03M,Son_regina,1,5,105,1730,1730s,Domenico Natale Sarro,Naples,Italy,Didone,Female,Dal segno,A,sss,s,"ob,vn,va,bs","obI,obII,sop,vnI,vnII,va,bs",sop
0008,Did03M-Son_regina-1739-Lampugnani[1.05][0008].xml,Did,Did03M,Son_regina,1,5,105,1739,1730s,Giovanni Battista Lampugnani,Padua,Italy,Didone,Female,Dal segno,C,n,n,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0010,Did03M-Son_regina-1760-Bernasconi[1.05][0010].xml,Did,Did03M,Son_regina,1,5,105,1760,1760s,Andrea Bernasconi,Venice,Italy,Didone,Female,Dal segno,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0012,Did03M-Son_regina-1742-Hasse[1.05][0012].xml,Did,Did03M,Son_regina,1,5,105,1742,1740s,Johann Adolph Hasse,Wermsdorf,Empire,Didone,Female,Dal segno,A,sss,s,"fl,ob,vn,va,bs","flI,flII,obI,obII,sop,vnI,vnII,va,bs",sop
0015,Did03M-Son_regina-1747-Jommelli[1.05][0015].xml,Did,Did03M,Son_regina,1,5,105,1747,1740s,Niccolò Jommelli,Rome,Italy,Didone,Female,Da capo,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0016,Did03M-Son_regina-1749-Jommelli[1.05][0016].xml,Did,Did03M,Son_regina,1,5,105,1749,1740s,Niccolò Jommelli,Vienna,Empire,Didone,Female,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0023,Did02M-Diro_che-1724-Sarro[1.03][0023].xml,Did,Did02M,Diro_che,1,3,103,1724,1720s,Domenico Natale Sarro,Naples,Italy,Selene,Female,Da capo,g,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0030,Did02M-Diro_che-1760-Bernasconi[1.03][0030].xml,Did,Did02M,Diro_che,1,3,103,1760,1760s,Andrea Bernasconi,Venice,Italy,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0033,Did03M-Son_regina-1753-Perez[1.05][0033].xml,Did,Did03M,Son_regina,1,5,105,1753,1750s,Davide Perez,Genova,Italy,Didone,Female,Dal segno,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0051,Did03M-Son_regina-1763-Jommelli[1.05][0051].xml,Did,Did03M,Son_regina,1,5,105,1763,1760s,Niccolò Jommelli,Stuttgart,Empire,Didone,Female,Dal segno,C,n,n,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0053,Did03M-Son_regina-1763-Traetta[1.05][0053].xml,Did,Did03M,Son_regina,1,5,105,1763,1760s,Tommaso Traetta,Venice,Italy,Didone,Female,Dal segno,Bb,bb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
0186,Did02M-Diro_che-1742-Hasse[1.03][0186].xml,Did,Did02M,Diro_che,1,3,103,1742,1740s,Johann Adolph Hasse,Wermsdorf,Empire,Selene,Female,Dal segno,G,s,s,"fl,ob,vn,va,bs","flI,flII,obI,obII,sop,vnI,vnII,va,bs",sop
0199,Did02M-Diro_che-1747-Jommelli[1.03][0199].xml,Did,Did02M,Diro_che,1,3,103,1747,1740s,Niccolò Jommelli,Rome,Italy,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0202,Did02M-Diro_che-1749-Jommelli[1.03][0202].xml,Did,Did02M,Diro_che,1,3,103,1749,1740s,Niccolò Jommelli,Vienna,Empire,Selene,Female,Da capo,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0233,Did02M-Diro_che-1753-Perez[1.03][0233].xml,Did,Did02M,Diro_che,1,3,103,1753,1750s,Davide Perez,Genova,Italy,Selene,Female,Dal segno,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
