AriaId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,City,Territory,Character,Gender,Harmony_Analysis_Available
0005,Did02M-Diro_che-1730-Sarro[1.03][0005].xml,Did,Did02M,Diro_che,1,3,103,1730,1730s,Domenico Natale Sarro,Naples,Italy,Selene,Female,1
0023,Did02M-Diro_che-1724-Sarro[1.03][0023].xml,Did,Did02M,Diro_che,1,3,103,1724,1720s,Domenico Natale Sarro,Naples,Italy,Selene,Female,1
0199,Did02M-Diro_che-1747-Jommelli[1.03][0199].xml,Did,Did02M,Diro_che,1,3,103,1747,1740s,Niccolò Jommelli,Rome,Italy,Selene,Female,1
0202,Did02M-Diro_che-1749-Jommelli[1.03][0202].xml,Did,Did02M,Diro_che,1,3,103,1749,1740s,Niccolò Jommelli,Vienna,Empire,Selene,Female,1
0233,Did02M-Diro_che-1753-Perez[1.03][0233].xml,Did,Did02M,Diro_che,1,3,103,1753,1750s,Davide Perez,Genova,Italy,Selene,Female,1
0257,Did01M-Dovrei_ma-1762-Sarti[1.02][0257].xml,Did,Did01M,Dovrei_ma,1,2,102,1762,1760s,Giuseppe Sarti,Copenhagen,Empire,Enea,Male,1
0280,Did01M-Dovrei_ma-1768-Boroni[1.02][0280].xml,Did,Did01M,Dovrei_ma,1,2,102,1768,1760s,Antonio Boroni,Prague,Empire,Enea,Male,1
0285,Did01M-Dovrei_ma-1769-Majo[1.03][0285].xml,Did,Did01M,Dovrei_ma,1,3,103,1769,1760s,Gian Francesco De Majo,Venice,Italy,Enea,Male,1
0292,Did01M-Dovrei_ma-1810-Paer[1.02][0292].xml,Did,Did01M,Dovrei_ma,1,2,102,1810,1810s,Ferdinando Paër,Paris,France,Enea,Male,1
0311,Did01M-Dovrei_ma-1794-Paisiello[1.02][0311].xml,Did,Did01M,Dovrei_ma,1,2,102,1794,1790s,Giovanni Paisiello,Naples,Italy,Enea,Male,1
0377,Did01M-Dovrei_ma-1780-Astarita[1.02][0377].xml,Did,Did01M,Dovrei_ma,1,2,102,1780,1780s,Gennaro Astarita,Bratislava,Empire,Enea,Male,1
0384,Did02M-Diro_che-1726-Vinci[1.03][0384].xml,Did,Did02M,Diro_che,1,3,103,1726,1720s,Leonardo Vinci,Rome,Italy,Selene,Male,1
0823,Ale75X-Adr25M-Ah_che_mancar-1772-Anfossi[2.13][0823].xml,Ale,Ale75X-Adr25M,Ah_che_mancar,2,13,213,1772,1770s,Pasquale Anfossi,Rome,Italy,Gandarte,Male,1
0850,Ale67M-Oli21M-Non_so_donde-1762-Bach[3.07][0850].xml,Ale,Ale67M-Oli21M,Non_so_donde,3,7,307,1762,1760s,Johann Christian Bach,Naples,Italy,Alessandro,Male,1
1,Did03M-Son_regina-1724-Sarro[1.05][0001].xml,Did,Did03M,Son_regina,1,5,105,1724,1720s,Domenico Natale Sarro,Naples,Italy,Didone,Female,1
10,Did03M-Son_regina-1760-Bernasconi[1.05][0010].xml,Did,Did03M,Son_regina,1,5,105,1760,1760s,Andrea Bernasconi,Venice,Italy,Didone,Female,1
100,Dem22M-Misero_pargoletto-1746-Graun[3.05][0100].xml,Dem,Dem22M,Misero_pargoletto,3,5,305,1746,1740s,Carl Heinrich Graun,Berlin,Empire,Timante,Male,1
1000,Ale02M-Vedrai_con-1754-Agricola[1.02][1000].xml,Ale,Ale02M,Vedrai_con,1,2,102,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,1
1001,Ale03M-Vil_trofeo-1754-Agricola[1.03][1001].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,1
1002,Ale06M-Se_mai-1754-Agricola[1.04][1002].xml,Ale,Ale06M,Se_mai,1,4,104,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,1
1003,Ale07M-Se_mai-1754-Agricola[1.05][1003].xml,Ale,Ale07M,Se_mai,1,5,105,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,1
1005,Ale11M-Se_amore-1754-Agricola[1.09][1005].xml,Ale,Ale11M,Se_amore,1,9,109,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,1
1006,Ale06M-Ale07M-Se_mai-1754-Agricola[1.10][1006].xml,Ale,Ale06M-Ale07M,Se_mai,1,10,110,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide&Poro,Female&Male,1
1008,Ale12M-Non_sarei-1754-Agricola[2.03][1008].xml,Ale,Ale12M,Non_sarei,2,3,203,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Erissena,Female,1
101,Did13M-Se_resto-1742-Hasse[1.19][0101].xml,Did,Did13M,Se_resto,1,19,119,1742,1740s,Johann Adolph Hasse,Wermsdorf,Empire,Enea,Male,1
1011,Ale16M-Digli_che-1754-Agricola[2.09][1011].xml,Ale,Ale16M,Digli_che,2,09,209,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,1
1012,Ale17M-Destrier_che-1754-Agricola[2.10][1012].xml,Ale,Ale17M,Destrier_che,2,10,210,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,1
1013,Ale18M-E_ver-1754-Agricola[2.11][1013].xml,Ale,Ale18M,E_ver,2,11,211,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Timagene,Male,1
1015,Ale24M-Se_troppo-1754-Agricola[3.03][1015].xml,Ale,Ale24M,Se_troppo,3,3,303,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,1
1016,Ale26M-Serbati_a-1754-Agricola[3.05][1016].xml,Ale,Ale26M,Serbati_a,3,5,305,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,1
1017,Ale28M-Dove_si-1754-Agricola[3.08][1017].xml,Ale,Ale28M,Dove_si,3,8,308,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,1
1018,Ale02M-Vedrai_con-1791-Tarchi[1.02][1018].xml,Ale,Ale02M,Vedrai_con,1,2,102,1791,1790s,Angelo Tarchi,Livorno,Italy,Poro,Male,1
1019,Ale03M-Vil_trofeo-1791-Tarchi[1.03][1019].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1791,1790s,Angelo Tarchi,Livorno,Italy,Alessandro,Male,1
102,Dem22M-Misero_pargoletto-1776-Monza[3.05][0102].xml,Dem,Dem22M,Misero_pargoletto,3,05,305,1776,1770s,Carlo Monza,Alessandria,Italy,Timante,Male,1
1020,Ale04M-Chi_vive-1791-Tarchi[1.04][1020].xml,Ale,Ale04M,Chi_vive,1,4,104,1791,1790s,Angelo Tarchi,Livorno,Italy,Erissena,Female,1
1021,Ale06M-Se_mai-1791-Tarchi[1.05][1021].xml,Ale,Ale06M,Se_mai,1,5,105,1791,1790s,Angelo Tarchi,Livorno,Italy,Poro,Male,1
1022,Ale07M-Se_mai-1791-Tarchi[1.06][1022].xml,Ale,Ale07M,Se_mai,1,6,106,1791,1790s,Angelo Tarchi,Livorno,Italy,Cleofide,Female,1
1025,Ale11M-Se_amore-1791-Tarchi[1.12][1025].xml,Ale,Ale11M,Se_amore,1,12,112,1791,1790s,Angelo Tarchi,Livorno,Italy,Alessandro,Male,1
1026,Ale06M-Ale07M-Se_mai-1791-Tarchi[1.13][1026].xml,Ale,Ale06M-Ale07M,Se_mai,1,13,113,1791,1790s,Angelo Tarchi,Livorno,Italy,Cleofide&Poro,Female&Male,1
1029,Ale27M-Finche_rimango-1791-Tarchi[2.06][1029].xml,Ale,Ale27M,Finche_rimango,2,6,206,1791,1790s,Angelo Tarchi,Livorno,Italy,Timagene,Male,1
103,Did13M-Se_resto-1747-Jommelli[1.18][0103].xml,Did,Did13M,Se_resto,1,18,118,1747,1740s,Niccolò Jommelli,Rome,Italy,Enea,Male,1
