,mc,mn,mc_onset,mn_onset,timesig,staff,voice,duration,gracenote,nominal_duration,scalar,tied,tpc,midi,volta,chord_id
0,1,1,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,6
1,1,1,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,4
2,1,1,1/8,1/8,3/8,1,1,1/8,,1/8,1,,2,74,,0
3,1,1,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,,2
4,1,1,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,5
5,1,1,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,,1
6,1,1,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,3
7,2,2,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,16
8,2,2,0,0,3/8,3,1,1/8,,1/8,1,,2,74,,13
9,2,2,0,0,3/8,1,1,1/8,,1/8,1,,-1,77,,7
10,2,2,0,0,3/8,2,1,1/8,,1/8,1,,-1,77,,10
11,2,2,1/8,1/8,3/8,1,1,1/8,,1/8,1,,3,69,,8
12,2,2,1/8,1/8,3/8,3,1,1/8,,1/8,1,,0,72,,14
13,2,2,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-3,75,,11
14,2,2,1/4,1/4,3/8,1,1,1/8,,1/8,1,1,-2,70,,9
15,2,2,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-2,70,,15
16,2,2,1/4,1/4,3/8,2,1,1/8,,1/8,1,,2,74,,12
17,3,3,0,0,3/8,5,1,1/8,,1/8,1,,-3,63,,26
18,3,3,0,0,3/8,1,1,1/8,,1/8,1,-1,-2,70,,17
19,3,3,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,23
20,3,3,0,0,3/8,2,1,1/8,,1/8,1,,1,79,,20
21,3,3,1/8,1/8,3/8,5,1,1/8,,1/8,1,,2,62,,27
22,3,3,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,24
23,3,3,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-1,77,,18
24,3,3,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-1,77,,21
25,3,3,1/4,1/4,3/8,5,1,1/8,,1/8,1,,0,60,,28
26,3,3,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,25
27,3,3,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,,19
28,3,3,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,22
29,4,4,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,38
30,4,4,0,0,3/8,3,1,1/8,,1/8,1,,-1,65,,35
31,4,4,0,0,3/8,1,1,1/8,,1/8,1,,2,74,,29
32,4,4,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,32
33,4,4,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-3,63,,36
34,4,4,1/8,1/8,3/8,1,1,1/8,,1/8,1,,3,69,,30
35,4,4,1/8,1/8,3/8,2,1,1/8,,1/8,1,,0,72,,33
36,4,4,1/4,1/4,3/8,3,1,1/8,,1/8,1,,2,62,,37
37,4,4,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-2,70,,31
38,4,4,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-2,70,,34
39,5,5,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,48
40,5,5,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,45
41,5,5,0,0,3/8,1,1,1/8,,1/8,1,,1,79,,39
42,5,5,0,0,3/8,2,1,1/8,,1/8,1,,1,79,,42
43,5,5,1/8,1/8,3/8,5,1,1/8,,1/8,1,,2,50,,49
44,5,5,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,46
45,5,5,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-1,77,,40
46,5,5,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-1,77,,43
47,5,5,1/4,1/4,3/8,5,1,1/8,,1/8,1,,0,48,,50
48,5,5,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,47
49,5,5,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,,41
50,5,5,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,44
51,6,6,0,0,3/8,5,1,1/4,,1/4,1,,-2,46,,64
52,6,6,0,0,3/8,3,1,1/8,,1/8,1,,-1,65,,59
53,6,6,0,0,3/8,1,1,1/16,,1/16,1,,2,74,,51
54,6,6,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,54
55,6,6,1/16,1/16,3/8,1,1,1/16,,1/16,1,,0,72,,52
56,6,6,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,-2,70,,60
57,6,6,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-2,70,,53
58,6,6,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,2,74,,55
