AriaId,AriaLabel,AriaName,Year,Composer,Librettist,Act,Scene,ActAndScene,Form,Role,RoleType,City,Territory
0001,Did,Son_regina,1724,Sarro,M,1,5,105,Al segno,Didone,Female lover 1,Naples,Italy
0002,Did,Non_ha,1770,Piccinni,M,1,18,118,Al segno,Didone,Female lover 1,Rome,Italy
0003,Did,Non_ha,1724,Sarro,M,1,17,117,Da capo,Didone,Female lover 1,Naples,Italy
0004,Did,Dovrei_ma,1730,Sarro,M,1,2,102,recit,Enea,Male lover 1,Naples,Italy
0005,Did,Diro_che,1730,Sarro,M,1,3,103,Al segno,Selene,Female lover 2,Naples,Italy
0006,Did,Son_regina,1730,Sarro,M,1,5,105,Al segno,Didone,Female lover 1,Naples,Italy
0007,Did,Non_ha,1730,Sarro,M,1,17,117,Al segno,Didone,Female lover 1,Naples,Italy
0008,Did,Son_regina,1739,Lampugnani,M,1,5,105,Al segno,Didone,Female lover 1,Padova,Italy
0009,Did,Ah_non_lasciarmi,1739,Lampugnani,M,2,7,207,Da capo,Didone,Female lover 1,Padova,Italy
0010,Did,Son_regina,1760,Bernasconi,M,1,5,105,Al segno,Didone,Female lover 1,Venice,Italy
0011,Did,Ah_non_lasciarmi,1760,Bernasconi,M,2,7,207,Da capo,Didone,Female lover 1,Venice,Italy
0012,Did,Son_regina,1742,Hasse,M,1,5,105,Al segno,Didone,Female lover 1,Wermsdorf,Empire
0013,Did,Non_ha,1742,Hasse,M,1,18,118,Al segno,Didone,Female lover 1,Wermsdorf,Empire
0014,Did,Non_ha,1747,Jommelli,M,1,17,117,Da capo,Didone,Female lover 1,Rome,Italy
0015,Did,Son_regina,1747,Jommelli,M,1,5,105,Da capo,Didone,Female lover 1,Rome,Italy
0016,Did,Son_regina,1749,Jommelli,M,1,5,105,Al segno,Didone,Female lover 1,Vienna,Empire
0017,Did,Non_ha,1753,Perez,M,1,17,117,Al segno,Didone,Female lover 1,Genova,Italy
0018,Did,Non_ha,1762,Sarti,M,1,15,115,ABA,Didone,Female lover 1,Copenhagen,Denmark
0019,Did,Non_ha,1763,Jommelli,M,1,17,117,Al segno,Didone,Female lover 1,Stuttgart,Empire
0020,Did,Non_ha,1764,Galuppi,M,1,17,117,Al segno,Didone,Female lover 1,Venice,Italy
0021,Did,Non_ha,1775,Anfossi,M,1,11,111,AB,Didone,Female lover 1,Venice,Italy
0022,Did,Ah_non_lasciarmi,1742,Hasse,M,2,6,206,Al segno,Didone,Female lover 1,Wermsdorf,Empire
0023,Did,Diro_che,1724,Sarro,M,1,3,103,Da capo,Selene,Female lover 2,Naples,Italy
0024,Did,Se_dalle,1724,Sarro,M,1,8,108,Da capo,Araspe,Male lover 3,Naples,Italy
0025,Did,Dovrei_ma,1739,Lampugnani,M,1,2,102,recit,Enea,Male lover 1,Padova,Italy
0026,Did,Tu_mi_scorgi,1739,Lampugnani,M,1,6,106,Al segno,Osmida,Antagonist,Padova,Italy
0027,Did,Fra_lo,1739,Lampugnani,M,1,7,107,Al segno,Iarba,Male lover 2,Padova,Italy
0028,Did,Quando_saprai,1739,Lampugnani,M,1,9,109,Al segno,Enea,Male lover 1,Padova,Italy
0029,Did,Dovrei_ma,1760,Bernasconi,M,1,2,102,recit,Enea,Male lover 1,Venice,Italy
0030,Did,Diro_che,1760,Bernasconi,M,1,3,103,Al segno,Selene,Female lover 2,Venice,Italy
0031,Did,Ah_non_lasciarmi,1747,Jommelli,M,2,2,202,Da capo,Didone,Female lover 1,Rome,Italy
0032,Did,Non_ha,1749,Jommelli,M,1,17,117,Da capo,Didone,Female lover 1,Vienna,Italy
0033,Did,Son_regina,1753,Perez,M,1,5,105,Al segno,Didone,Female lover 1,Genova,Italy
0034,Did,Ah_non_lasciarmi,1753,Perez,M,2,6,206,Al segno,Didone,Female lover 1,Genova,Italy
0035,Did,Ah_non_lasciarmi,1763,Traetta,M,2,4,204,Da capo,Didone,Female lover 1,Venice,Italy
0036,Did,Ah_non_lasciarmi,1762,Sarti,M,2,4,204,ABA,Didone,Female lover 1,Copenhagen,Denmark
0037,Did,Ah_non_lasciarmi,1764,Galuppi,M,2,7,207,Al segno,Didone,Female lover 1,Venice,Italy
0038,Did,Son_regina,1768,Boroni,M,1,5,105,Al segno,Didone,Female lover 1,Prague,Empire
0039,Did,Ah_non_lasciarmi,1768,Boroni,M,2,5,205,Al segno,Didone,Female lover 1,Prague,Empire
0040,Did,Son_regina,1769,Majo,M,1,6,106,Al segno,Didone,Female lover 1,Venice,Italy
0041,Did,Son_regina,1770,Piccinni,M,1,5,105,Al segno,Didone,Female lover 1,Rome,Italy
0042,Did,Ah_non_lasciarmi,1770,Piccinni,M,2,2,202,Al segno,Didone,Female lover 1,Rome,Italy
0043,Did,Son_regina,1775,Anfossi,M,1,4,104,ABA,Didone,Female lover 1,Venice,Italy
0044,Did,Ah_non_lasciarmi,1775,Anfossi,M,2,4,204,ABA,Didone,Female lover 1,Venice,Italy
0045,Did,Ah_non_lasciarmi,1769,Majo,M,2,3,203,AB,Didone,Female lover 1,Venice,Italy
0046,Did,Infelice_e,1724,Sarro,M,1,13,113,Da capo,Araspe,Male lover 3,Naples,Italy
0047,Did,Son_regina,1776,Schuster,M,1,5,105,ABA,Didone,Female lover 1,Naples,Italy
0048,Did,Ah_non_lasciarmi,1749,Jommelli,M,2,4,204,Al segno,Didone,Female lover 1,Vienna,Empire
0049,Did,Son_regina,1762,Sarti,M,1,5,105,Da capo,Didone,Female lover 1,Copenhagen,Denmark
0050,Did,Ah_non_lasciarmi,1763,Jommelli,M,2,3,203,Al segno,Didone,Female lover 1,Stuttgart,Empire
0051,Did,Son_regina,1763,Jommelli,M,1,5,105,Al segno,Didone,Female lover 1,Stuttgart,Empire
0052,Did,Ah_non_lasciarmi,1776,Schuster,M,2,7,207,ABA,Didone,Female lover 1,Naples,Italy
0053,Did,Son_regina,1763,Traetta,M,1,5,105,Al segno,Didone,Female lover 1,Venice,Italy
0054,Did,Aura_con,1739,Lampugnani,X,1,10,110,Al segno,Selene,Female lover 2,Padova,Italy
0055,Did,Tu_mi_scorgi,1724,Sarro,M,1,6,106,Al segno,Osmida,Antagonist,Naples,Italy
0056,Did,Fra_lo,1724,Sarro,M,1,7,107,Da capo,Iarba,Male lover 2,Naples,Italy
0057,Did,Quando_saprai,1724,Sarro,M,1,10,110,Al segno,Enea,Male lover 1,Naples,Italy
0058,Did,Ogni_amator,1724,Sarro,M,1,11,111,Da capo,Selene,Female lover 2,Naples,Italy
0059,Did,Son_quel,1724,Sarro,M,1,12,112,Al segno,Iarba,Male lover 2,Naples,Italy
0060,Did,Tu_mi_disarmi,1724,Sarro,M,1,16,116,Da capo,Iarba,Male lover 2,Naples,Italy
0061,Did,Se_resto,1724,Sarro,M,1,18,118,Al segno,Enea,Male lover 1,Naples,Italy
0062,Did,Tu_mi_scorgi,1730,Sarro,M,1,6,106,Al segno,Osmida,Antagonist,Naples,Italy
0063,Did,Fra_lo,1730,Sarro,M,1,7,107,Al segno,Iarba,Male lover 2,Naples,Italy
0064,Did,Se_dalle,1730,Sarro,M,1,8,108,Da capo,Araspe,Male lover 3,Naples,Italy
0065,Did,Quando_saprai,1730,Sarro,M,1,10,110,Al segno,Enea,Male lover 1,Naples,Italy
0066,Did,Ogni_amator,1730,Sarro,M,1,11,111,Da capo,Selene,Female lover 2,Naples,Italy
0067,Did,Son_quel,1730,Sarro,M,1,12,112,Al segno,Iarba,Male lover 2,Naples,Italy
0068,Did,Infelice_e,1730,Sarro,M,1,13,113,Al segno,Araspe,Male lover 3,Naples,Italy
0069,Did,Pensa_che,1730,Sarro,M,2,1,201,Al segno,Osmida,Antagonist,Naples,Italy
0070,Did,Leon_che,1739,Lampugnani,M,2,2,202,AB,Iarba,Male lover 2,Padova,Italy
0071,Did,L_augelletto,1739,Lampugnani,M,2,4,204,Al segno,Araspe,Male lover 3,Padova,Italy
0072,Did,Vedi_nel,1739,Lampugnani,M,2,8,208,Da capo,Enea,Male lover 1,Padova,Italy
0073,Did,Sono_tanti,1739,Lampugnani,X,2,10,210,Al segno,Osmida,Antagonist,Padova,Italy
0074,Did,Tormento_il,1739,Lampugnani,M,2,13,213,Al segno,Enea,Male lover 1,Padova,Italy
0075,Did,Tu_mi_scorgi,1760,Bernasconi,M,1,6,106,Al segno,Osmida,Antagonist,Venice,Italy
0076,Did,Se_dalle,1760,Bernasconi,M,1,8,108,Al segno,Araspe,Male lover 3,Venice,Italy
0077,Did,Quando_saprai,1760,Bernasconi,M,1,10,110,Da capo,Enea,Male lover 1,Venice,Italy
0078,Did,Son_quel,1760,Bernasconi,M,1,13,113,Al segno,Iarba,Male lover 2,Venice,Italy
0079,Did,Son_regina,1794,Paisiello,M,1,5,105,ABAB,Didone,Female lover 1,Naples,Italy
0080,Dem,Misero_pargoletto,1735,Leo,M,3,4,304,Al segno,Timante,Male lover 1,Naples,Italy
0081,Dem,Misero_pargoletto,1743,Jommelli,M,3,5,305,Da capo,Timante,Male lover 1,Padova,Italy
0082,Dem,Misero_pargoletto,1766,Bernasconi,M,3,5,305,Al segno,Timante,Male lover 1,Munich,Italy
0083,Dem,Misero_pargoletto,1748,Hasse,M,3,5,305,Al segno,Timante,Male lover 1,Dresden,Empire
0086,Dem,Se_tutti,1735,Leo,M,2,6,206,Da capo,Dircea,Female lover 1,Naples,Italy
0087,Dem,Misero_pargoletto,1758,Ferradini,M,3,4,304,Al segno,Timante,Male lover 1,Milan,Italy
0088,Dem,Misero_pargoletto,1754,Manna,M,3,5,305,Da capo,Timante,Male lover 1,Turin,Italy
0089,Dem,Misero_pargoletto,1758,Galuppi,M,3,5,305,Al segno,Timante,Male lover 1,Padova,Italy
0090,Dem,Misero_pargoletto,1764,Jommelli,M,3,5,305,Al segno,Timante,Male lover 1,Stuttgart,Empire
0091,Dem,Se_tutti,1743,Jommelli,M,2,6,306,Da capo,Dircea,Female lover 1,Padova,Italy
0092,Did,Se_resto,1730,Sarro,M,1,18,218,Al segno,Enea,Male lover 1,Naples,Italy
0093,Dem,Misero_pargoletto,1752,Perez,M,3,5,305,Al segno,Timante,Male lover 1,Lisbon,Portugal
0094,Dem,Misero_pargoletto,1753,Jommelli,M,3,5,305,Da capo,Timante,Male lover 1,Milan,Italy
0095,Dem,Misero_pargoletto,1775,Myslivecek,M,3,5,305,ABAB,Timante,Male lover 1,Naples,Italy
0096,Dem,Misero_pargoletto,1758,Hasse,M,3,5,305,Al segno,Timante,Male lover 1,Naples,Italy
0097,Dem,Misero_pargoletto,1761,Piccinni,M,3,5,305,Al segno,Timante,Male lover 1,Reggio Emilia,Italy
0098,Dem,Misero_pargoletto,1790,Errichelli,M,3,,,Da capo,Timante,Male lover 1,,
0099,Dem,Misero_pargoletto,1771,Sarti,M,3,5,305,Al segno,Timante,Male lover 1,Copenhagen,Denmark
0100,Dem,Misero_pargoletto,1746,Graun,M,3,5,305,Al segno,Timante,Male lover 1,Berlin,Empire
0101,Did,Se_resto,1742,Hasse,M,1,19,119,Al segno,Enea,Male lover 1,Wermsdorf,Empire
0102,Dem,Misero_pargoletto,1776,Monza,M,3,5,305,AA ,Timante,Male lover 1,Alessandria,Italy
0103,Did,Se_resto,1747,Jommelli,M,1,18,118,Da capo,Enea,Male lover 1,Rome,Italy
0104,Did,Se_resto,1776,Schuster,M,2,15,215,ABAB,Enea,Male lover 1,Naples,Italy
0105,Did,Se_resto,1753,Perez,M,1,18,118,Al segno,Enea,Male lover 1,Genova,Italy
0106,Did,Se_resto,1775,Anfossi,M,2,7,207,ABA,Enea,Male lover 1,Venice,Italy
0107,Did,Se_resto,1763,Traetta,M,1,18,118,Da capo,Enea,Male lover 1,Venice,Italy
0108,Did,Se_resto,1749,Jommelli,M,2,18,217,Al segno,Enea,Male lover 1,Rome,Italy
0109,Did,Se_resto,1764,Galuppi,M,1,18,118,Al segno,Enea,Male lover 1,Venice,Italy
0110,Dem,Se_tutti,1758,Galuppi,M,2,6,206,Al segno,Dircea,Female lover 1,Padova,Italy
0111,Dem,Se_tutti,1758,Ferradini,M,2,6,206,Da capo,Dircea,Female lover 1,Milan,Italy
0112,Did,Se_resto,1770,Piccinni,M,1,19,119,Al segno,Enea,Male lover 1,Rome,Italy
0113,Dem,Se_tutti,1748,Hasse,M,2,6,206,Al segno,Dircea,Female lover 1,Dresden,Empire
0114,Dem,Se_tutti,1754,Manna,M,2,7,207,Da capo,Dircea,Female lover 1,Turin,Italy
0115,Dem,Se_tutti,1752,Perez,M,2,6,206,Al segno,Dircea,Female lover 1,Lisbon,Portugal
0116,Dem,Se_tutti,1753,Jommelli,M,2,6,206,Da capo,Dircea,Female lover 1,Milan,Italy
0117,Dem,Se_tutti,1749,Galuppi,M,2,6,206,Da capo,Dircea,Female lover 1,Madrid,Spain
0118,Dem,Se_tutti,1758,Hasse,M,2,6,206,Al segno,Dircea,Female lover 1,Naples,Italy
0119,Dem,Se_tutti,1764,Jommelli,M,2,6,206,Da capo,Dircea,Female lover 1,Stuttgart,Empire
0120,Dem,Se_tutti,1770,Jommelli,M,2,7,207,Al segno,Dircea,Female lover 1,Naples,Italy
0121,Did,Cadra_fra,,Wagenseil,M,3,,,Al segno,Iarba,Male lover 2,,
0122,Dem,Se_tutti,1775,Myslivecek,M,2,6,206,ABA,Dircea,Female lover 1,Naples,Italy
0123,Did,Cadra_fra,1742,Hasse,M,3,19,319,Da capo,Iarba,Male lover 2,Wermsdorf,Empire
0124,Did,Cadra_fra,1747,Jommelli,M,3,19,319,Da capo,Iarba,Male lover 2,Rome,Italy
0125,Did,Cadra_fra,1768,Boroni,M,3,14,314,ABA,Iarba,Male lover 2,Prague,Empire
0126,Did,Cadra_fra,1770,Piccinni,M,3,19,319,Al segno,Iarba,Male lover 2,Rome,Italy
0127,Did,Cadra_fra,1769,Majo,M,3,12,312,ABA,Iarba,Male lover 2,Venice,Italy
0128,Did,Cadra_fra,1762,Sarti,M,3,15,315,AB,Iarba,Male lover 2,Copenhagen,Denmark
0129,Did,Cadra_fra,1753,Perez,M,3,18,318,recit,Iarba,Male lover 2,Genova,Italy
0130,Did,Cadra_fra,1764,Galuppi,M,3,16,316,Al segno,Iarba,Male lover 2,Venice,Italy
0131,Did,Cadra_fra,1730,Sarro,M,3,16,316,Da capo,Iarba,Male lover 2,Naples,Italy
0132,Did,Cadra_fra,1776,Schuster,M,3,16,316,AA ,Iarba,Male lover 2,Naples,Italy
0133,Did,Cadra_fra,1763,Traetta,M,3,18,318,Da capo,Iarba,Male lover 2,Venice,Italy
0134,Did,Son_regina,1764,Galuppi,M,1,5,105,Al segno,Didone,Female lover 1,Venice,Italy
0135,Did,Cadra_fra,1763,Jommelli,M,3,17,317,Al segno,Iarba,Male lover 2,Stuttgart,Empire
0136,Did,Ah_non_lasciarmi,1794,Paisiello,M,2,6,206,ABA,Didone,Female lover 1,Naples,Italy
0137,Did,Cadra_fra,1775,Anfossi,M,3,14,314,ABA,Iarba,Male lover 2,Venice,Italy
0138,Did,Cara_lavverso,1739,Lampugnani,X,1,17,117,Al segno,Didone&Enea,Female lover 1,Padova,Italy
0139,Did,Dovrei_ma,1724,Sarro,M,1,2,102,recit,Enea,Male lover 1,Naples,Italy
0140,Did,Infelice_e,1739,Lampugnani,M,1,13,113,Al segno,Araspe,Male lover 3,Padova,Italy
0141,Did,Vedi_nel,1730,Sarro,M,2,8,208,Da capo,Enea,Male lover 1,Naples,Italy
