AriaId,EndOfThemeA
0001,"32,5"
0002,101
0003,"27,5"
0004,10
0005,65
0006,"35,5"
0007,62
0008,107
0009,70
0010,82
0011,103
0012,150
0013,51
0014,76
0015,79
0016,88
0017,71
0018,40
0019,62
0020,104
0021,60
0022,64
0023,27
0024,"44,5"
0025,18
0026,106
0027,75
0028,104
0029,27
0030,122
0031,71
0032,58
0033,140
0034,159
0035,88
0036,24
0037,105
0038,128
0039,88
0040,155
0041,129
0042,81
0043,75
0044,50
0045,46
0046,116
0047,110
0048,66
0049,93
0050,68
0051,124
0052,36
0053,119
0054,109
0055,87
0056,106
0057,51
0058,25
0059,"53,5"
0060,21
0061,59
0062,94
0063,105
0064,"50,5"
0065,51
0066,89
0067,53
0068,120
0069,65
0070,91
0071,137
0072,121
0073,97
0074,115
0075,110
0076,105
0077,44
0078,90
0079,20
0080,86
0081,54
0082,77
0083,44
0086,70
0087,99
0088,82
0089,89
0090,52
0091,70
0092,"29,5"
0093,80
0094,71
0095,49
0096,54
0097,61
0098,72
0099,78
0100,69
0101,115
0102,63
0103,87
0104,34
0105,42
0106,71
0107,91
0108,107
0109,112
0110,103
0111,78
0112,122
0113,62
0114,79
0115,92
0116,57
0117,105
0118,99
0119,63
0120,64
0121,65
0122,53
0123,44
0124,53
0125,43
0126,113
0127,39
0128,30
0129,114
0130,67
0131,32
0132,56
0133,69
0134,161
0135,53
0136,29
0137,75
0138,133
0139,7
0140,95
0141,48
0142,67
0143,79
0144,61
0145,"48,5"
0146,43
0147,65
0148,102
0149,62
0150,106
0151,71
0152,97
0153,87
0154,129
0155,52
0156,48
0157,89
0158,"16,5"
0159,62
0160,20
0161,"30,5"
0162,105
0163,73
0164,25
0165,71
0166,24
0167,65
0168,50
0169,119
0170,80
0171,111
0172,142
0173,121
0174,69
0175,72
0176,96
0177,58
0178,127
0179,97
0180,97
0181,98
0182,31
0183,63
0184,14
0185,34
0186,88
0187,115
0188,130
0189,98
0190,66
0191,175
0192,70
0193,67
0194,98
0195,110
0196,128
0197,44
0198,46
0199,79
0200,102
0201,105
0202,89
0203,130
0204,82
0205,87
0206,97
