Antonio Abati
Girolamo Matteo Abos
Agostino Accorimboni
Anton Cajetan Adlgasser
Andrea Adolfati
Maria Teresa Agnesi
Johann Friedrich Agricola
Tomaso Giovanni Albinoni
Felice Alessandri
Antonio Amicone
Gaetano Andreozzi
Pasquale Anfossi
David August von Apell
Giuseppe Aprile
Francesco Araja
Giuseppe Arena
Thomas Augustine Arne
Bonifacio Asioli
Gennaro Astarita
Baron Emanuele d'Astorga
Pietro Auletta
Antonio Aurisicchio
Francesco Azzopardi
Gregorio Lorenzo Babbi
Johann Christian Bach
Johann Anton Adam Bachschmidt
Julije Bajamonti
Angelo Baldan
Innocenzio Baldini
Domenico Balduino
Felice Bambini
Ignaz von Beecke
Giuseppe Belli
Agostino Beltramo
Georg Benda
Angelo Maria Benincori
Maksym Sozontovych Berezovs'ky
Marcello Bernardini
Andrea Bernasconi
Ferdinando Gasparo Bertoni
Francesco Bianchi
Antonio Bioni
Felice Blangini
Luigi Boccherini
Johann Gottfried Böhme
G.  Bollano
Giuseppe Bonno
Giovanni Bonocini
Giovanni Battista Borghi
Antonio Boroni
Johann Evangelist Brandl
Giovanni Battista Bresciani
Giuseppe Ferdinando Brivio
Riccardo Broschi
Giovan Gualberto Brunetti
Giuseppe Brunetti
Giovanni Francesco Maria Brusa
Michele Caballone
Pasquale Cafaro
Nicola Calandro
Antonio Caldara
Giacinto Calderara
Antonio Calegari
Joseph Anton Camerloher
Antonio Caputi
Antonio Capuzzi
Giuseppe Carcani
Luigi Caruso
João de Sousa Carvalho
Giovanni Battista Casali
Tommaso Maria Ceccoli
Eligio Celestino
Filippo Celli
Ignazio Celoniati
Francesco Ceracchini
Antonio Cerro
Luigi Cherubini
Pietro Chiarini
Vincenzo Chiavacci
Pietro Vncenzo Chiocchetti
Carl Antonio Christiani
Francesco Ciampi
Vincenzo Legrenzio Ciampi
Pio Cianchettini
Pietro Paolo Cianelli
Domenico Cimarosa
Gioacchino Cocchi
Giuseppe Colla
Giovanni Andrea Kauchlitz Colizzi
Nicola Conforto
Giovanni Battista Contiero
Pietro Antonio Coppola
Francesco Corradini
Francisco Corselli
Giovanni Battista Costanzi
Domenico Corri
Giuseppe Maria Curcio
Girolamo Crescentini
Carlantonio Cristiani
Valentin Czeyka
Daniel Dal Barba
Franz Ignaz Danzi
Giambattista De Luca
Gian Francesco De Majo
Antonio Del Fante
Egidio Duni
Johann Ernst Eberlin
Pasquale Errichelli
Guglielmo Ettore
Annibale Pio Fabbri
Vincenzo Federici
Johann Georg Feldmayr
Alessandro Felici
Antonio Ferradini
Giovanni Battista Ferrandini
Filippo Finazzi
Michele  Fini
Valentino Fioravanti
Ignazio Fiorillo
Giovanni Andrea Fioroni
Domenico Fischietti
Gian Francesco Fortunati
Paolo Franchi
Baldassare Galuppi
Quirino Gasparini
Florian Leopold Gassmann
Luigi Gatti
Giuseppe Gazzaniga
Filippo Maria Gherardeschi
Geminiano Giacomelli
Giovanni Antonio Giaì
Pietro Giaino
Felice de Giardini
Tommaso Giordani
Christoph Willibald Gluck
Francesco Gnecco
Carl Heinrich Graun
Antoine-Frédéric Gresnick
Carlo Grua
Pietro Alessandro Guglielmi
Georg Friedrich Händel
Johann Adolph Hasse
Ernst Häussler
Johann Wilhelm Hertel
Friedrich Heinrich Himmel
Ignaz Holzbauer
Arvid Niclas von Höpken
Charles Edward Horn
Giacomo Insanguine
Nicolò Isouard
Niccolò Jommelli
Leopold Kozeluch
Joseph Martin Kraus
Adolph Carl Kunzen
Paul Ignaz Kürzinger
Giovanni Battista Lampugnani
Gaetano Latilla
Thomas Lemner
Carlo Lenzi
Leonardo Leo
Silvestro Leonardi
Peter Josef von Lindpainter
Giovanni Liverati
Charles Lucas
Francesco Maggiore
Francesco Mancini
Vincenzo Manfredini
Nicola Antonio Manfroce
Hieronymus Mango
Gennaro Manna
Giacomo Maraucci
Giovanni Francesco Maria Marchi
Luigi Marescalchi
Gaetano Marinelli
Settiminio Marino
Maria Anna Martines
Johann Simon Mayr
Michelle Mazziotti
Antonio Mazzoni
Orazio Mei
Giovanni Battista Mele
Saverio Mercadante
Franz Joseph Leonz Meyer
Giuseppe Millico
Domenico Mombelli
Gaetano Monti
Carlo Monza
Filippo Moroni
Michele Mortellari
Ignaz Franz von Mosel
Wolfgang Amadeus Mozart
Natale Nicolo Mussini
Josef Mysliveček
Diego  Naselli
Sebastiano Nasolini
Johann Gottlieb Naumann
A. Nicolas-Ravenez
Giuseppe Nicolini
Francisco Mariano Nifo
Bernardo Ottani
Giovanni Pacini
Ferdinando Paer
Giuseppe Antonio Paganelli
Giovanni Paisiello
Antonio Gaetano Pampani
Domenico Paradies
Paolo Francesco Parenti
Pietro Giovanni Parolini
Stefano Pavesi
Salvatore Pazzaglia
Francesco Peli
Pietro Pellegrini
Nicolo Peretti
Davide Perez
Giovanni Battista Pergolesi
Giovanni Agostino Perotti
Giovanni Battista Pescetti
Brizio Petrucci
Niccolò Piccinni
Giuseppe Pignatelli
Antonio Pio
Johann Pircker
Francesco Pitichio
Ignazio Platania
Johann Nepomuk Poissl
Francesco Poncini Zilioli
Giuseppe Ponzo
Nicola Porpora
Giovanni Porta
Marcos António Portugal
Alessio Prati
Luca Antonio Predieri
Gaetano Pugnani
Giacinto Quagliattini
Johann Joachim Quantz
Gaetano Quilici
Vincenzo Rampini
Vicenzo Ranpin
Venanzio Rauzzini
Giuseppe Re
Antonio Reggio
Johann Friedrich Reichardt
Giuseppe Reina
Carl Gottlieb Reissiger
Carlo Reno
Rinaldo di Capua
Salvatore Rispoli
Giovanni Alberto Ristori
Johann Helmich Roman
Filippo Ruge
Giovanni Battista Runcher
Friedrich Wilhelm Rust
Giovanni Marco Rutini
Antonio Sacchini
Felix Salembeni
Pietro Pompeo Sales
Pietro Giuseppe Sandoni
Luciano Xavier Santos
Domenico Natale Sarro
Giuseppe Sarti
Gasparo Sborgi
Paolo Scalabrini
Giuseppe Scarlatti
Theodor Schacht
Gaetano Maria Schiassi
Joseph Schuster
Johhan Gottfried Schwanenberger
Gregorio Sciroli
Giuseppe Scolari
Karl von Sickingen
Alberto José Gomes da Silva
John Christopher Smith
Pasquale Antonio Soffi
Raffaelle Spalletta
Joseph Hartmann Stuntz
