,Scoring
704,"sop,vnI,vnII,va,bs"
709,"sop,vnI,vnII,va,bs"
710,"sop,vnI,vnII,va,bs"
711,"ob,hnI,hnII,sop,vnI,vnII,va,bs"
713,"hnI,hnII,sop,vnI,vnII,va,bs"
715,"sop,vnI,vnII,va,bs"
716,"sop,vnI,vnII,va,bs"
717,"flI,flII,sop,vnI,vnII,va,bs"
718,"sop,vnI,vnII,va,bs"
719,"flI,flII,obI,obII,sop,vnI,vnII,va,bs"
721,"flI,flII,sop,vnI,vnII,va,bs"
722,"sop,vnI,vnII,va,bs"
724,"sop,vnI,vnII,va,bs"
725,"clI,clII,sop,vnI,vnII,vaI,vaII,bs"
726,"flI,flII,hnI,hnII,sop,vnI,vnII,va,bs"
729,"flI,flII,sop,vnI,vnII,va,bs"
735,"obI,obII,bn,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
809,"sop,vnI,vnII,va,bs"
810,"alt,vnI,vnII,va,bs"
814,"sop,vnI,vnII,va,bs"
815,"sop,vnI,vnII,va,bs"
816,"sop,vnI,vnII,va,bs"
817,"sop,vnI,vnII,va,bs"
820,"sop,vnI,vnII,va,bs"
821,"sop,vnI,vnII,va,bs"
822,"sop,vnI,vnII,va,bs"
823,"sop,vnI,vnII,va,bs"
824,"sop,vnI,vnII,va,bs"
825,"sop,vnI,vnII,va,bs"
826,"obI,obII,sop,vnI,vnII,vaI,vaII,bs"
827,"sop,vnI,vnII,va,bs"
828,"obI,obII,tptI,tptII,sop,vnI,vnII,va,bs"
830,"bnI,bnII,hnI,hnII,sop,vnI,vnII,va,bs"
831,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
832,"obI,obII,hnI,hnII,sop,vnI,vnII,vnIII,va,bs"
834,"sop,vnI,vnII,va,bs"
835,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
918,"obI,obII,sop,vnI,vnII,va,bs"
925,"obI,obII,sop,vnI,vnII,va,bs"
927,"sop,vnI,vnII,va,bs"
929,"sop,vnI,vnII,va,bs"
931,"sop,vnI,vnII,va,bs"
932,"flI,flII,obI,obII,sop,vnI,vnII,va,bs"
933,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
934,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
935,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
936,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
937,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
938,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
939,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
941,"obI,obII,bnI,bnII,hnI,hnII,tptI,tptII,sop,vnI,vnII,va,bs"
943,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
945,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
946,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
947,"obI,obII,clI,clII,hnI,hnII,sop,vnI,vnII,va,bs"
948,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
950,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
956,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
958,"obI,obII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs"
1037,"sop,vnI,vnII,va,bs"
1039,"sop,vnI,vnII,va,bs"
1042,"sop,vnI,vnII,va,bs"
1043,"sop,vnI,vnII,va,bs"
1046,"sop,vnI,vnII,va,bs"
1048,"sop,vnI,vnII,va,bs"
1049,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1050,"sop,vnI,vnII,va,bs"
1051,"sop,vnI,vnII,va,bs"
1052,"sop,vnI,vnII,va,bs"
1053,"flI,flII,obI,obII,sop,vnI,vnII,va,bs"
1054,"sop,vnI,vnII,vaI,vaII,bs"
1055,"ten,vnI,vnII,va,bs"
1056,"sop,sop,vnI,vnII,va,bs"
1057,"obI,obII,bn,sop,vnI,vnII,va,bs"
1058,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
1059,"flI,flII,obI,obII,bn,sop,vnI,vnII,va,bs"
1060,"hnI,hnII,sop,vnI,vnII,va,bs"
1061,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1062,"hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
1063,"obI,obII,hnI,hnII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs"
1064,"obI,obII,hnI,hnII,ten,vnI,vnII,va,bs"
1065,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1067,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1069,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1071,"obI,obII,cl,cl,hn,hn,sop,vnI,vnII,va,bs"
1074,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
1075,"flI,flII,obI,obII,clI,clII,bnI,bnII,hnI,hnII,sop,vnI,vnII,va,bs"
1079,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
1080,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
1089,"sop,vnI,vnII,va,bs"
1095,"flI,flII,hnI,hnII,sop,vnI,vnII,va,bs"
1096,"sop,vnI,vnII,va,bs"
1097,"flI,flII,sop,vnI,vnII,vaI,vaII,bs"
1099,"sop,vnI,vnII,vaI,vaII,bs"
1100,"flI,flII,obI,obII,sop,vnI,vnII,va,bs"
1101,"sop,vnI,vnII,va,bs"
1103,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1104,"sop,vnI,vnII,vaI,vaII,bs"
1105,"flI,flII,hnI,hnII,sop,vnI,vnII,va,bs"
1107,"flI,flII,hnI,hnII,sop,vnI,vnII,va,bs"
1108,"obI,obII,clI,clII,bnI,bnII,sop,vnI,vnII,va,bs"
1110,"flI,flII,obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
1111,"obI,obII,sop,vnI,vnII,vaI,vaII,bs"
1112,"obI,obII,sop,vnI,vnII,vaI,vaII,bs"
1113,"flI,flII,eh,clI,clII,bnI,bnII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs,tbn"
1114,"flI,flII,hnI,hnII,sop,vnI,vnII,va,bs"
1115,"obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs"
1195,"ten,vnI,vnII,va,bs"
1197,"sop,vnI,vnII,va,bs"
1200,"flI,flII,obI,obII,bn,sop,vnI,vnII,va,bs"
1201,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1204,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1206,"ten,vnI,vnII,va,bs"
1207,"obI,obII,hnI,hnII,ten,vnI,vnII,va,bs"
1208,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1209,"ten,vnI,vnII,va,bs"
1210,"obI,obII,hnI,hnII,sop,vnI,vnII,va,bs"
1211,"sop,vnI,vnII,va,bs"
1213,"obI,obII,ten,vnI,vnII,va,bs"
1215,"clI,clII,bnI,bnII,hnI,hnII,sop,vnI,vnII,va,bs"
1219,"obI,obII,hnI,hnII,vnI,vnII,va,bs,bass"
